Hour,Current Congestion,Current Emission,Current Revenue
5,71.29575745208348,44.12926961006887,1093.7451107142858
6,71.29575745208348,44.12926961006887,1320.8585887933702
7,71.29575745208348,44.12926961006887,2013.5107588954347
8,71.29575745208348,44.12926961006887,2255.8317620059215
9,71.29575745208348,44.12926961006887,1409.5430448875343
10,71.29575745208348,44.12926961006887,1499.0700448743776
11,71.29575745208348,44.12926961006887,1784.30334870858
12,71.29575745208348,44.12926961006887,2797.651282485022
13,71.29575745208348,44.12926961006887,4429.352064340599
14,71.29575745208348,44.12926961006887,7035.632213504416
15,71.29575745208348,44.12926961006887,7807.194665680375
16,71.29575745208348,44.12926961006887,7647.244139447425
17,71.29575745208348,44.12926961006887,7327.554312750694
18,71.29575745208348,44.12926961006887,5986.8349581529865
19,71.29575745208348,44.12926961006887,3010.983398675143
