Date,Hour,HOV Flow,Ordinary Flow,HOV Travel Time,Ordinary Travel Time,Avg_total_toll,Sigma_2ratio,Sigma_3ratio,Demand
2021-02-23,15,1284.6363636363635,3962.318181818182,9.60478156023983,14.197705620128492,4.833333333333333,0.14708186032727197,0.6047122081331103,4726.476377121924
2021-02-23,14,1222.4545454545455,3799.818181818182,9.29736455307908,12.977133010423374,3.778571428571429,0.14708186032727197,0.6047122081331103,4677.283698621697
2021-02-23,13,1135.5,3882.4545454545455,7.003888899424928,8.401322867617747,1.375,0.14708186032727197,0.6047122081331103,4944.497000918058
2021-02-23,12,1025.5454545454545,3875.318181818182,6.382556042142996,7.372341919608529,0.8333333333333334,0.14708186032727197,0.6047122081331103,5089.179694545635
2021-02-23,11,983.3636363636364,3776.227272727273,6.482852664808092,7.572990533318542,0.7708333333333334,0.14708186032727197,0.6047122081331103,5348.258367230978
2021-02-23,10,923.1363636363636,3566.090909090909,6.611076150319423,7.862050544360731,0.7708333333333334,0.14708186032727197,0.6047122081331103,6090.415762564742
2021-02-23,9,934.681818181818,3622.045454545456,6.502425563497749,7.6059433561755805,0.75,0.14708186032727197,0.6047122081331103,6549.702512216973
2021-02-23,8,1016.0454545454544,3846.136363636364,6.544534767760856,7.601555559474732,0.7916666666666666,0.14708186032727197,0.6047122081331103,6495.5007275215185
2021-02-23,7,1019.681818181818,3733.818181818182,6.498520583576823,7.576677208575603,0.8125,0.14708186032727197,0.6047122081331103,6274.600438750221
2021-02-23,6,931.8636363636364,3400.7272727272725,6.419914230687604,7.435068640157006,0.7916666666666666,0.14708186032727197,0.6047122081331103,5230.130457236898
2021-02-23,5,635.0454545454545,2538.090909090909,5.765712739924502,6.273655304215348,0.75,0.14708186032727197,0.6047122081331103,4181.55275764311
2021-02-24,19,957.0454545454544,3518.681818181818,6.205386433737306,6.936615834127319,1.0227272727272727,0.1410331498184374,0.6094646831439616,3130.1024779034988
2021-02-24,18,1194.409090909091,3938.0,7.966527344644776,10.031675414938292,2.708333333333333,0.1410331498184374,0.6094646831439616,4613.110175254625
2021-02-24,17,1265.3181818181818,3987.909090909091,9.14869235268915,12.35365658542938,4.333333333333333,0.1410331498184374,0.6094646831439616,5186.847191699568
2021-02-24,16,1306.0,4191.363636363636,8.036716274166666,10.714799920810446,4.4375,0.1410331498184374,0.6094646831439616,5154.435420977819
2021-02-24,15,1307.5454545454545,4054.590909090909,9.231929528357831,13.299466486204455,4.5,0.1410331498184374,0.6094646831439616,4862.960550002614
2021-02-24,14,1243.4545454545455,3818.090909090909,9.442026222717503,13.412037645771832,4.041666666666667,0.1410331498184374,0.6094646831439616,4955.052931492256
2021-02-24,13,1174.6363636363635,3976.181818181818,7.232868857400189,8.892444548309438,1.7708333333333333,0.1410331498184374,0.6094646831439616,5188.042320570288
2021-02-24,12,1118.090909090909,4022.590909090909,6.930876651028602,8.941534672157392,1.4054054054054057,0.1410331498184374,0.6094646831439616,5536.491233812629
2021-02-24,11,1043.090909090909,3920.909090909091,6.6846396168239846,7.9159752307269535,0.9166666666666666,0.1410331498184374,0.6094646831439616,5606.293937533129
2021-02-24,10,974.7727272727273,3792.090909090909,6.563505221560797,7.690742913795868,0.7708333333333334,0.1410331498184374,0.6094646831439616,6176.469087756222
2021-02-24,9,956.4545454545456,3729.9545454545455,6.594364678184091,7.730455067470787,0.75,0.1410331498184374,0.6094646831439616,6595.330771986195
2021-02-24,8,1039.2727272727273,3909.272727272728,6.604022490716142,7.72107742093186,0.8541666666666666,0.1410331498184374,0.6094646831439616,6544.143552766454
2021-02-24,7,1074.2727272727273,3895.636363636364,6.648470971030882,7.7874196592477,0.9166666666666666,0.1410331498184374,0.6094646831439616,6317.4690769391855
2021-02-24,6,949.5454545454544,3503.0,6.343398000617883,7.275162237099527,0.7905405405405406,0.1410331498184374,0.6094646831439616,5878.166157722112
2021-02-24,5,615.1363636363636,2429.1363636363635,5.76551612261216,6.285322212977848,0.75,0.1410331498184374,0.6094646831439616,4654.976253624815
2021-02-25,19,960.318181818182,3549.181818181818,6.197873392061893,6.935748390834599,0.9545454545454546,0.14492753623188406,0.6058924485125858,3285.7669176625427
2021-02-25,18,1179.3181818181818,3880.818181818182,8.288408336131047,10.512180772450636,2.5,0.14492753623188406,0.6058924485125858,4696.06812207559
2021-02-25,17,1229.3636363636365,3883.0,9.637538161784278,14.06361725106565,3.520833333333333,0.14492753623188406,0.6058924485125858,4861.308341582484
2021-02-25,16,1269.5,3973.272727272728,9.174414821360154,12.610990624188885,4.185714285714286,0.14492753623188406,0.6058924485125858,4607.668400117051
2021-02-25,15,1302.5454545454545,4043.045454545456,9.718587365500024,14.03448925453097,4.916666666666667,0.14492753623188406,0.6058924485125858,4710.675317860975
2021-02-25,14,1256.0454545454545,3810.818181818182,9.563085748869328,14.496676831682992,4.0,0.14492753623188406,0.6058924485125858,4994.898649644641
2021-02-25,13,1142.2272727272727,3739.318181818182,8.236655358585619,11.539126482172342,2.7291666666666665,0.14492753623188406,0.6058924485125858,5104.064532705431
2021-02-25,12,1081.7272727272727,4002.9545454545455,6.694170941185208,8.027642972166289,1.1666666666666667,0.14492753623188406,0.6058924485125858,5374.555240442262
2021-02-25,11,1004.6363636363636,3889.272727272728,6.621635045922802,7.725173349128492,0.9166666666666666,0.14492753623188406,0.6058924485125858,5728.893207990292
2021-02-25,10,986.7727272727273,3833.5,6.465670592238245,7.513304930045284,0.75,0.14492753623188406,0.6058924485125858,6338.4039746608905
2021-02-25,9,937.0454545454544,3592.681818181818,6.554182608339783,7.715708189045989,0.7928571428571428,0.14492753623188406,0.6058924485125858,6636.239451126719
2021-02-25,8,927.7272727272727,3473.090909090909,6.78332862780527,7.976442960425357,1.0208333333333333,0.14492753623188406,0.6058924485125858,6341.003992112147
2021-02-25,7,1007.6363636363636,3657.227272727273,6.590026287875861,7.6468159530063184,0.9375,0.14492753623188406,0.6058924485125858,6286.408215350208
2021-02-25,6,961.681818181818,3568.7727272727275,6.403621365169887,7.376910024234,0.8125,0.14492753623188406,0.6058924485125858,5756.792417087966
2021-02-25,5,643.2272727272727,2552.181818181818,5.787734225380775,6.314760529388054,0.75,0.14492753623188406,0.6058924485125858,4681.202107711048
2021-02-26,19,1057.5,3779.136363636364,7.4063920840399184,8.370526388645182,2.3181818181818183,0.1472883663777357,0.604961641924878,2644.7825515357504
2021-02-26,18,1179.0,3891.090909090909,8.579915896074997,12.152555782927008,3.875,0.1472883663777357,0.604961641924878,4578.194900523902
2021-02-26,17,1235.7727272727273,3971.272727272728,9.670937448643013,13.45555164258537,4.645833333333333,0.1472883663777357,0.604961641924878,5136.091996619926
2021-02-26,16,1254.5454545454545,4036.909090909091,9.273170305381724,12.58668681494514,4.916666666666667,0.1472883663777357,0.604961641924878,5194.40659887466
2021-02-26,15,1283.7272727272727,4087.181818181818,9.432235313835651,14.023656872495216,4.875,0.1472883663777357,0.604961641924878,5124.741875624943
2021-02-26,14,1249.2727272727273,3808.363636363637,9.748014694203343,15.282202960411162,4.75,0.1472883663777357,0.604961641924878,5197.100370880418
2021-02-26,13,1240.3181818181818,3891.636363636364,8.272479663353954,11.6525689709172,2.9791666666666665,0.1472883663777357,0.604961641924878,5405.332394531184
2021-02-26,12,1202.8181818181818,4121.954545454545,7.1072514628440135,8.918969043260724,1.5642857142857145,0.1472883663777357,0.604961641924878,5752.704152531986
2021-02-26,11,1100.6363636363635,4086.863636363637,6.656901863176618,7.812157817996962,0.8958333333333334,0.1472883663777357,0.604961641924878,6105.566608138649
2021-02-26,5,519.0,2052.3636363636365,5.822135233666831,6.373773965987887,0.75,0.1472883663777357,0.604961641924878,6489.297787785577
2021-02-26,6,934.2272727272727,3478.5,6.361665506698812,7.381219434238554,0.7916666666666666,0.1472883663777357,0.604961641924878,6723.319252457094
2021-02-26,7,1051.409090909091,3891.636363636364,6.465611606927916,7.579482154818143,0.8125,0.1472883663777357,0.604961641924878,6414.1131299779545
2021-02-26,10,1037.7272727272727,3948.909090909091,6.596278515776039,7.753006363277971,0.8541666666666666,0.1472883663777357,0.604961641924878,6358.323060864918
2021-02-26,9,1024.1363636363635,3896.363636363637,6.676661676896848,7.843712994052347,0.8333333333333334,0.1472883663777357,0.604961641924878,6138.555822992623
2021-02-26,8,1055.090909090909,3933.545454545456,6.563658887629159,7.713797069563904,0.8333333333333334,0.1472883663777357,0.604961641924878,5173.290306377687
2021-03-01,5,608.0454545454545,2427.090909090909,5.821328230766684,6.346422717546254,0.75,0.14612326043737575,0.6088469184890656,3120.9588130661714
2021-03-01,19,771.3636363636364,2920.318181818182,6.149548334173209,6.898397719971088,1.0227272727272727,0.14612326043737575,0.6088469184890656,4615.714992626105
2021-03-01,18,977.9090909090908,3441.318181818182,6.717645656805992,7.712801415584869,1.85,0.14612326043737575,0.6088469184890656,5111.994338188722
2021-03-01,17,1208.3181818181818,4078.409090909091,7.348451882574918,9.155849719583747,2.612068965517241,0.14612326043737575,0.6088469184890656,4931.834257823761
2021-03-01,16,1263.090909090909,4117.454545454545,7.617700035012699,10.390401769352364,4.2890625,0.14612326043737575,0.6088469184890656,4789.975621722309
2021-03-01,14,1180.590909090909,3760.181818181818,8.298657113913709,12.49792542988921,3.395833333333333,0.14612326043737575,0.6088469184890656,4848.1894415018805
2021-03-01,13,1143.2272727272727,3922.409090909091,7.101818506455714,9.565538585336274,1.9166666666666667,0.14612326043737575,0.6088469184890656,4804.539215789954
2021-03-01,15,1234.7272727272727,3927.545454545456,8.646550464397974,13.23024736159948,4.166666666666667,0.14612326043737575,0.6088469184890656,5269.484988560925
2021-03-01,11,933.4090909090908,3687.181818181818,6.518027276201333,7.763916310305381,0.75,0.14612326043737575,0.6088469184890656,5622.152031583886
2021-03-01,10,945.2272727272727,3720.863636363637,6.531841707992548,7.740515713759284,0.75,0.14612326043737575,0.6088469184890656,6043.964394880217
2021-03-01,9,932.0909090909092,3668.136363636364,6.650395120161092,7.879300337113785,0.7708333333333334,0.14612326043737575,0.6088469184890656,6420.27309858316
2021-03-01,8,991.9545454545456,3748.636363636364,6.655806152196967,7.839011388076608,0.7916666666666666,0.14612326043737575,0.6088469184890656,6419.857746805462
2021-03-01,7,1042.5454545454545,3872.909090909091,6.506691557763258,7.532436676281982,0.8541666666666666,0.14612326043737575,0.6088469184890656,5996.043718828269
2021-03-01,6,946.0,3512.409090909091,6.287842629634402,7.179882270247244,0.8125,0.14612326043737575,0.6088469184890656,4748.824963870242
2021-03-01,12,1070.5454545454545,3970.409090909091,6.5820670200016975,7.824219101643577,0.9166666666666666,0.14612326043737575,0.6088469184890656,3840.2951216093616
2021-03-02,13,1144.6818181818182,3890.363636363637,7.053289882683729,8.57414356306658,1.6041666666666667,0.1497077864578209,0.6004840709183573,3312.327863183555
2021-03-02,19,843.2272727272727,3238.954545454545,6.197964191297329,7.093211635951705,1.25,0.1497077864578209,0.6004840709183573,4813.090496737762
2021-03-02,18,1158.9545454545455,3940.0,7.058196233580858,8.670937029099,2.125,0.1497077864578209,0.6004840709183573,4978.835371177478
2021-03-02,17,1271.6818181818182,4175.272727272727,7.835725595230595,9.580090277563247,3.2916666666666665,0.1497077864578209,0.6004840709183573,5474.644597440208
2021-03-02,16,1288.1363636363635,4171.5,7.723806218775214,9.0938975386389,3.557142857142857,0.1497077864578209,0.6004840709183573,4844.558000674306
2021-03-02,12,1034.590909090909,3849.0,6.600077487491218,7.779106907618699,1.0208333333333333,0.1497077864578209,0.6004840709183573,4265.065669271885
2021-03-02,15,1300.090909090909,4110.0,8.469462423123797,11.45143203661409,4.083333333333333,0.1497077864578209,0.6004840709183573,4870.910579109434
2021-03-02,10,889.1363636363636,3153.954545454545,7.774351301650806,10.18678830621422,0.75,0.1497077864578209,0.6004840709183573,5111.8971499997815
2021-03-02,11,967.4545454545456,3671.318181818182,6.998633984949064,8.592751288859855,0.8888888888888888,0.1497077864578209,0.6004840709183573,5420.167757236478
2021-03-02,5,645.0454545454545,2574.818181818182,5.849922980354561,6.4138806501694345,0.75,0.1497077864578209,0.6004840709183573,6042.48333193566
2021-03-02,6,995.6363636363636,3629.818181818182,6.396775270353937,7.456372538910391,0.8541666666666666,0.1497077864578209,0.6004840709183573,6474.366652045311
2021-03-02,7,1022.8636363636364,3718.363636363637,6.950058764919098,8.548177351181751,0.875,0.1497077864578209,0.6004840709183573,6094.116467782792
