Date,Hour,HOV Flow_3420 - Auto Mall NB,HOV Flow_3430 - Mowry NB,HOV Flow_3440 - Decoto/84 NB,HOV Flow_3450 - Whipple NB,HOV Flow_3460 - Hesperian/238 NB,Ordinary Flow_3420 - Auto Mall NB,Ordinary Flow_3430 - Mowry NB,Ordinary Flow_3440 - Decoto/84 NB,Ordinary Flow_3450 - Whipple NB,Ordinary Flow_3460 - Hesperian/238 NB,HOV Travel Time_3420 - Auto Mall NB,HOV Travel Time_3430 - Mowry NB,HOV Travel Time_3440 - Decoto/84 NB,HOV Travel Time_3450 - Whipple NB,HOV Travel Time_3460 - Hesperian/238 NB,Ordinary Travel Time_3420 - Auto Mall NB,Ordinary Travel Time_3430 - Mowry NB,Ordinary Travel Time_3440 - Decoto/84 NB,Ordinary Travel Time_3450 - Whipple NB,Ordinary Travel Time_3460 - Hesperian/238 NB,Avg_total_toll_3420 - Auto Mall NB,Avg_total_toll_3430 - Mowry NB,Avg_total_toll_3440 - Decoto/84 NB,Avg_total_toll_3450 - Whipple NB,Avg_total_toll_3460 - Hesperian/238 NB
2021-03-25,16,990.7692307692308,1042.4,1098.428571428571,1472.4,1336.0,4052.0,4679.2,4349.857142857143,4553.8,4082.727272727273,5.61028846672965,2.958424070396643,3.452506948289291,2.533304555424844,9.066814513427952,7.313660277985731,4.007588052297724,4.520693082680628,3.8924354202835145,12.569797370233683,0.7916666666666666,2.125,1.9583333333333333,4.0625,4.625
2021-03-25,17,953.2307692307692,1003.0,1014.2857142857144,1411.8,1308.7727272727273,3936.307692307693,4703.0,4546.142857142857,4771.8,4127.5,5.685749847795523,2.895549963231465,3.1143129454463816,2.298645865856813,8.555419057569063,7.647405755310458,3.905852997806611,3.90339093969445,3.0634833147175464,11.581515101857644,0.7083333333333334,1.9583333333333333,1.2291666666666667,3.270833333333333,4.625
2021-03-25,18,801.4615384615385,846.8,815.7142857142857,1188.0,1215.6818181818182,3705.769230769231,4599.6,4507.0,4778.4,4045.318181818182,5.2465937017349695,2.80521909978392,2.789901350193809,1.820822403432896,7.765698691130305,6.567713278382586,3.6969904927256265,3.3627430729836862,2.167840740208622,9.856158126026072,0.5416666666666666,1.5208333333333333,0.9791666666666666,0.8958333333333334,2.8125
2021-03-25,19,583.9230769230769,593.2,569.2857142857143,983.0,991.0454545454544,3007.6153846153848,4072.0,3981.428571428572,4417.4,3628.909090909091,4.7903644772279375,2.6088022585075867,2.7859157755054538,1.7460599741660836,6.046818659597728,5.407373566226563,3.1526320171885827,3.2754155118558,2.039998874329808,6.786965193375415,0.5,0.8863636363636364,0.75,0.6590909090909091,1.068181818181818
2021-03-26,5,374.6923076923077,253.0,235.8571428571429,782.8,612.5454545454545,2006.8461538461536,2276.8,2325.285714285714,2974.6,2427.090909090909,4.68635887959765,2.584637723443662,2.787662094139894,1.947424894517039,5.800470704788187,5.2051037601632775,2.914246327926804,3.0798619689872715,1.8854731837752252,6.289989427801896,0.5208333333333334,0.7083333333333334,0.5,0.5,0.75
2021-03-26,6,529.7692307692307,440.6,414.2857142857143,1076.8,949.0454545454544,2688.0,3327.6,3321.5714285714284,4126.0,3474.954545454545,4.8238650413541,2.6212539554454763,2.851096014664696,2.2741353840681007,6.425237686835667,5.563268190482331,3.274502492218475,3.3874925987820035,2.2078200182435994,7.409989048009751,0.5,0.75,0.6458333333333334,0.5,0.8541666666666666
2021-03-26,7,599.0769230769231,484.6,440.8571428571428,1148.6,1071.7727272727273,3097.230769230769,3797.4,3699.714285714286,4567.0,3878.727272727273,4.876514375715823,2.630936020259352,2.8294137750150608,2.263824813956207,6.717644606140395,5.653389332881663,3.2875545796177104,3.3677166982438917,2.207317865618992,7.875844472050715,0.5,0.75,0.6458333333333334,0.5416666666666666,0.9791666666666666
2021-03-26,8,622.8461538461538,433.0,400.1428571428572,990.0,1018.4545454545456,3171.846153846154,3765.2,3700.714285714286,4336.4,3706.863636363637,4.949031308191983,2.638309110911395,2.8593121571601183,1.9990101210773676,6.966426815303405,5.7857002136799744,3.316302584741484,3.453513776692657,2.2166919208291684,8.215820570818769,0.5,0.75,0.625,0.5,1.1458333333333333
2021-03-26,9,612.2307692307693,440.8,423.7142857142857,974.2,1025.9545454545455,3114.538461538461,3692.8,3712.857142857143,4396.0,3818.9545454545455,5.012145265398035,2.6570554974682445,2.8538140602815067,1.8920940275488096,6.611116498113395,5.924032145977506,3.4162330771299723,3.5060655471451194,2.23956232257854,7.868712949682732,0.5,0.75,0.5833333333333334,0.5208333333333334,0.8541666666666666
2021-03-26,10,610.9230769230769,442.8,434.7142857142857,1050.4,1103.8636363636365,3083.923076923077,3782.0,3924.571428571429,4590.0,3970.0,4.997156501737498,2.6691255674840244,2.8706538648850715,1.914234531856784,6.962189391059227,5.875435935764588,3.4381553749667773,3.5380902898661684,2.286821245620278,8.63231445254717,0.5,0.75,0.6041666666666666,0.5208333333333334,1.3541666666666667
2021-03-26,11,659.3846153846154,507.6,508.57142857142856,1080.6,1152.2727272727273,3352.692307692308,4189.0,4260.142857142857,4825.8,3936.863636363637,4.970522963752763,2.6713519703019584,2.8562119435971285,1.9043665466746191,7.645299063591089,5.787500350022633,3.4064227525760145,3.5125120145918367,2.350751090375754,10.163653320254989,0.5,0.75,0.6875,0.5217391304347826,1.8333333333333333
2021-03-26,12,745.7692307692307,568.4,591.7142857142857,1150.4,1192.8181818181818,3616.153846153846,4364.4,4393.571428571428,4776.6,3788.863636363637,4.981042784274524,2.7102731946573333,2.844697689398273,1.8906110729768235,8.516751203602043,5.806623131092541,3.372429966958421,3.4931414695527105,2.333895361339273,12.186936350423425,0.5,0.7916666666666666,0.7291666666666666,0.6875,2.875
2021-03-26,13,890.0,812.6,804.1428571428571,1266.8,1241.590909090909,4013.4615384615386,4700.4,4574.857142857143,4691.4,3746.5454545454554,5.036076771031143,2.830001394071326,2.9584156340475944,2.011272403125128,9.579433206148275,5.893307757793874,3.5520473260719267,3.6197965962098952,2.759009957982051,14.937019813672697,0.5625,1.1458333333333333,0.9166666666666666,1.0344827586206895,4.271428571428571
2021-03-26,14,1025.4615384615386,1006.4,1061.2857142857142,1403.8,1293.1363636363635,4111.384615384615,4638.8,4186.285714285715,3903.8,3748.9545454545455,5.48832220164657,3.057461505203876,3.4317434698779614,3.48083667451128,10.578288866354695,7.668592934921178,4.07925845782734,4.8877060281661,6.168238677966758,16.844809531938566,0.75,1.8541666666666667,1.5,4.3125,5.0
2021-03-26,15,1086.2307692307693,1055.4,1166.571428571429,1344.4,1332.0,3999.0,4484.8,3289.0,3899.6,3983.818181818182,6.004793780949731,3.04733223989396,5.665318023816208,3.649183706409187,9.847596903218282,9.104258875704762,4.179116345185436,9.011732659830807,5.3296455141806645,14.38581178009539,1.0833333333333333,2.2291666666666665,3.6041666666666665,5.0,5.0
2021-03-26,16,974.8461538461538,1055.2,1205.571428571429,1236.8,1313.3636363636365,3984.307692307693,4251.0,3192.5714285714284,3520.8,3976.272727272728,5.57563280689844,3.284203913069814,6.144033691121251,2.338902010802711,8.968899773235222,7.084203981573817,6.180604375803165,9.415826074651706,3.4498916070123613,11.900250765858615,0.7916666666666666,2.083333333333333,4.916666666666667,4.888888888888889,4.797297297297297
2021-03-26,17,895.0769230769231,1053.0,1162.571428571429,1324.6,1222.7727272727273,3824.3846153846152,3614.4,2972.0,3700.6,3995.181818181818,5.327293964332663,3.6501587433037743,9.63525003560909,2.426018038035199,7.126433604214515,6.2465793367042615,9.548145806480136,11.411777410295418,4.08700529693722,8.032782924567421,0.6458333333333334,2.9166666666666665,3.6666666666666665,3.8333333333333335,2.833333333333333
2021-03-26,18,815.8461538461538,848.8,912.7142857142856,1159.6,1047.0,3608.076923076923,4437.8,4095.857142857143,4046.6,3425.181818181818,4.922313692948351,2.7205223952766167,3.703220695926409,2.3268872579979427,8.146668547329638,5.76824303670591,3.60391059085244,5.436097395299469,3.141710159548733,10.296041914840178,0.5,1.3958333333333333,2.145833333333333,2.770833333333333,4.4375
2021-03-26,19,711.9230769230769,728.6,679.7142857142857,877.4,926.0,3220.3076923076924,4246.8,4025.285714285714,3790.4,3195.3636363636365,4.77712755024128,2.646450109354207,2.838308348345832,1.7699617227506808,6.992805722218645,5.432401702188947,3.264298211724371,3.321469808221516,2.0709565695778616,8.25194392299682,0.5,1.181818181818182,0.7727272727272727,0.7727272727272727,2.1818181818181817
2021-03-29,5,371.0769230769231,260.4,228.7142857142857,628.6,581.7727272727273,2033.1538461538464,2361.2,2327.0,3018.6,2339.2272727272725,4.676812184088036,2.582752339345461,2.780490019000507,1.6417788109922369,5.794545550053118,5.19274113486015,2.8873540055932185,3.0739783493178487,1.8919408851151016,6.26699445622023,0.5,0.7291666666666666,0.5,0.5,0.75
2021-03-29,6,530.6923076923077,421.8,388.1428571428572,916.4,878.2272727272727,2741.3076923076924,3349.2,3317.714285714286,4087.0,3316.5454545454545,4.783706153124315,2.6294534312740256,2.828607698896354,1.815392353210776,6.2960902220113,5.461305457758227,3.218003690206338,3.29424122311998,2.08006961774834,7.225231012492991,0.5,0.75,0.5625,0.5,0.8125
2021-03-29,7,606.8461538461538,431.6,407.1428571428572,987.6,1000.8636363636364,3125.153846153846,3656.4,3594.428571428572,4400.0,3740.818181818182,4.850434769871623,2.6245913677454142,2.80687265377476,1.8617342661076208,6.553538564541524,5.616248182293941,3.267739032791132,3.3402104146078093,2.166262208065726,7.753794819130155,0.5,0.75,0.5625,0.5,0.8541666666666666
2021-03-29,8,618.7692307692307,415.0,388.7142857142857,946.0,1020.9545454545456,3237.692307692308,3706.4,3638.857142857143,4408.0,3818.136363636364,4.913175843383852,2.645865740253343,2.8383930012268617,1.8442604143472232,6.787519324334927,5.744162085690068,3.3383506554165563,3.4285889700779806,2.1947647774267303,8.01608115962195,0.5,0.75,0.5208333333333334,0.5,0.9375
2021-03-29,9,541.3076923076923,346.6,323.57142857142856,806.4,883.6818181818181,2865.4615384615386,3317.4,3350.428571428572,3949.8,3468.5,4.979979878022769,2.64924019624531,2.8535932973347986,1.8413265600579256,6.549915193285121,5.900497134064418,3.336339594563525,3.45595444002406,2.2064478376236387,7.717543722730605,0.5,0.75,0.5,0.5,0.75
2021-03-29,10,526.8461538461538,371.2,357.42857142857144,872.4,933.7727272727273,2794.076923076923,3427.6,3488.1428571428573,4120.0,3666.909090909091,5.020129310580014,2.673546308922889,2.912581795370204,1.8842170921887669,6.579543019970115,5.948038936983632,3.4753127636814862,3.5449619370224568,2.2902179940853937,7.862888459387988,0.5,0.75,0.5208333333333334,0.5,0.75
2021-03-29,11,574.3846153846154,413.4,411.0,932.2,980.7727272727273,2988.3076923076924,3667.4,3721.285714285714,4357.6,3796.090909090909,5.0027507145447725,2.6659842972156342,2.861611844202025,1.8773967971542809,6.568942594567977,5.915804377675244,3.4414949863781423,3.5320910598301003,2.2896758118851004,7.765624865894747,0.5,0.75,0.5833333333333334,0.5,0.8541666666666666
2021-03-29,12,604.2307692307693,451.6,459.7142857142857,1041.6,1057.0,3156.6153846153848,3980.2,4072.428571428572,4679.8,3798.818181818182,4.946645379743889,2.669578834496585,2.866132941589843,1.8698666666666663,6.902395890667338,5.803464194582007,3.421332149046971,3.539245528849815,2.295331591287607,8.971919292563882,0.5,0.75,0.6666666666666666,0.5208333333333334,1.3541666666666667
2021-03-29,13,703.6923076923077,593.8,569.0,1109.0,1169.409090909091,3498.0,4366.4,4258.714285714285,4710.2,3870.5454545454554,4.944627542933233,2.7135971116536632,2.8822266860312267,1.9406862315808555,7.264105336522221,5.7552326076765015,3.4237903711070325,3.499197384230905,2.635272914016836,10.743927211912714,0.5,0.8152173913043478,0.7291666666666666,0.6666666666666666,2.107142857142857
