Date,Hour,HOV Flow,Ordinary Flow,HOV Travel Time,Ordinary Travel Time,Avg_total_toll,Sigma_2ratio,Sigma_3ratio,Demand,Sigma_o,Sigma_toll,Sigma_pool2,Sigma_pool3
2021-11-19,6,1042.409090909091,3630.818181818182,6.3716675216780185,7.213096805150688,1.0625,0.11405777056146892,0.7088820734860786,4956.963565433731,0.7325494323364375,0.15407667402078168,0.11005604677054581,0.003317793411935045
2021-11-19,5,635.9090909090909,2484.954545454545,5.801045372786771,6.279157859303887,0.75,0.11405777056146892,0.7088820734860786,3239.6834676620865,0.7704810934435248,0.15654269990669709,0.07184668907116279,0.001129474716882484
2021-11-22,19,1064.6818181818182,3627.681818181818,7.169913374696771,8.796855950097541,2.227272727272727,0.11013921963729621,0.7188129694083165,5332.837676407098,0.7207754536543705,0.04335357715175629,0.2228837622628121,0.012987131927439319
2021-11-22,18,1286.8181818181818,3771.9545454545455,9.455708333097098,13.001073280080831,6.916666666666667,0.11013921963729621,0.7188129694083165,6100.664989759597,0.6802173093545736,0.0,0.25443047821196896,0.06535217759544688
2021-11-22,17,1352.0,3795.136363636364,10.109705725215772,13.677758995615113,6.833333333333333,0.11013921963729621,0.7188129694083165,6212.172243791778,0.679167942090527,0.0,0.2546680149904046,0.06616397572983954
2021-11-22,16,1345.3181818181818,4025.5,7.74848271808165,8.732426090267552,4.604166666666667,0.11013921963729621,0.7188129694083165,5587.14497462607,0.924192297254867,0.0,0.07091891447340307,0.004888742476277237
2021-11-22,15,1292.7272727272727,3770.409090909091,9.783680802345676,13.532567926100471,6.291666666666667,0.11013921963729621,0.7188129694083165,6160.065632176671,0.6680819086015841,0.0,0.25924630240071855,0.0726717127935447
2021-11-22,14,1303.8636363636365,3666.772727272728,10.053712141475517,14.656961071990215,6.6875,0.11013921963729621,0.7188129694083165,6267.764452456342,0.6219026066795041,0.0,0.27067602858215456,0.10742132347030033
2021-11-22,13,1215.5454545454545,3715.363636363637,7.847462900134268,10.898174159699115,3.125,0.11013921963729621,0.7188129694083165,6006.638738659087,0.6508394394540675,0.005054087445748006,0.30188531737765584,0.04222108560799755
2021-11-22,12,1156.0454545454545,3691.727272727273,7.347905912460354,11.204803862606424,2.145833333333333,0.11013921963729621,0.7188129694083165,6123.334741895459,0.5387786233151076,0.060470602341089,0.3531332033245681,0.04761754304045458
