Date,sigma_2ratio_equi,sigma_3ratio_equi,Sigma_2ratio,Sigma_3ratio
2021-03-01,0.1918662312422326,0.47836118954018797,0.14612326043737575,0.6088469184890656
2021-03-02,0.23160580414590481,0.35078747692277457,0.1497077864578209,0.6004840709183573
2021-03-03,0.17129784583498445,0.5678811284251644,0.14315238618911283,0.6084071215942056
2021-03-04,0.19765670072791855,0.5929203761561422,0.14512652381038638,0.6016084916767801
2021-03-05,0.17219148333531112,0.6959053808543654,0.14647472599378375,0.6063307704891215
2021-03-08,0.22618233343950203,0.5018130396940572,0.1462687802657175,0.6127643723355821
2021-03-09,0.20220478496264652,0.5139332025032565,0.14418538699941255,0.6072680130451517
2021-03-10,0.23308134852875823,0.4443762657355,0.1459989554923693,0.6085997794928335
2021-03-11,0.15667935069273142,0.6187932869742053,0.14858378219925983,0.6081675277564033
2021-03-12,0.1644828466911423,0.7190631130769835,0.14804477935932026,0.6040096753186343
2021-03-15,0.16977946868193455,0.5738412466914119,0.14073435759473718,0.6206940036570756
2021-03-16,0.1557395676206834,0.6109653866942015,0.14405628245454039,0.6061531016769343
2021-03-17,0.16742214319033702,0.6623182510861239,0.14540862348908534,0.6127728666786938
2021-03-18,0.21400768288744768,0.6247736219995496,0.1463266198817063,0.6054087978547384
2021-03-19,0.173472362177151,0.682780520756061,0.14961201186045045,0.6074380165289256
2021-03-22,0.20462488609889282,0.49361399331921996,0.1464796383602041,0.6142832198358652
2021-03-23,0.1587704385571986,0.6795432336665745,0.14644793597450068,0.6021618999774803
2021-03-24,0.1753596026295352,0.6901989992985579,0.14353879571270875,0.6092297831428266
2021-03-25,0.17081702622309378,0.6471559503925799,0.14564867732110467,0.6084494028267342
2021-03-26,0.1752512794946591,0.6889118750664998,0.14781880647862114,0.6091895949418252
2021-03-29,0.2011651286529281,0.5352742316898036,0.14395933889132662,0.6138108819657745
2021-03-30,0.19827868279777577,0.6022773389796968,0.14534278491052396,0.6067515986714916
2021-03-31,0.26187687842509155,0.17961442468085542,0.14223384314899112,0.6123143320679825
