Date,Hour,HOV Flow,Ordinary Flow,HOV Travel Time,Ordinary Travel Time,Avg_total_toll
2021-01-01,0,242.5,1325.7272727272727,0.0970508709782766,0.1080003117751735,
2021-01-01,1,221.45454545454547,1210.3181818181818,0.0967264887137207,0.1076610691718486,
2021-01-01,2,171.95454545454547,980.9545454545456,0.0969034333717567,0.107484323455385,
2021-01-01,3,129.9090909090909,803.2272727272727,0.0968655649017454,0.1074307169918859,
2021-01-01,4,150.04545454545453,882.1363636363636,0.0968626751437701,0.1075535928726681,
2021-01-01,5,206.8181818181818,1089.590909090909,0.0968495621110281,0.1073682227960211,
2021-01-01,6,288.45454545454544,1460.409090909091,0.0974241037270634,0.1082737735293922,
2021-01-01,7,315.0,1606.1363636363635,0.0982406820276394,0.1093846958576601,
2021-01-01,8,364.95454545454544,1879.1818181818185,0.0995998219828472,0.1114430641959427,
2021-01-01,9,457.7272727272728,2284.681818181818,0.0986202582063142,0.1099179746930366,
2021-01-01,10,595.1818181818181,2846.318181818182,0.0982638743695351,0.1093814373365968,
2021-01-01,11,745.4545454545455,3449.3636363636365,0.099335992491917,0.1113955451480553,
2021-01-01,12,862.3636363636364,3850.0,0.1003473006945093,0.1128766220053136,
2021-01-01,13,905.0454545454544,3952.0454545454554,0.1004004653846818,0.113083461829516,
2021-01-01,14,957.0909090909092,4066.090909090909,0.1023723257752076,0.1155736449130263,
2021-01-01,15,913.2272727272727,4026.5454545454554,0.1026269208363827,0.1157124414267848,
2021-01-01,16,907.681818181818,3916.727272727273,0.1037021934810406,0.1169437915807584,
2021-01-01,17,858.7727272727273,3701.272727272728,0.1044873638004602,0.1180289521697789,
2021-01-01,18,776.3181818181819,3384.681818181818,0.1004118696662154,0.1125983977041606,
2021-01-01,19,625.1363636363636,2850.7727272727275,0.0979426315430663,0.109647811724027,
2021-01-01,20,522.4545454545455,2432.5,0.0974047522711989,0.1087998361233792,
2021-01-01,21,449.45454545454544,2159.2272727272725,0.0968480614233072,0.107641199613853,
2021-01-01,22,354.6818181818182,1752.6818181818182,0.0972826107638469,0.1080597314513588,
2021-01-01,23,266.1363636363636,1360.4545454545455,0.0971000680761424,0.1079538282779869,
2021-01-02,0,180.13636363636363,1005.4090909090908,0.0967713023815776,0.1075829430567687,
2021-01-02,1,119.22727272727272,742.9090909090909,0.0971759874114278,0.1079094740693157,
2021-01-02,2,106.54545454545456,691.5454545454545,0.0968005927509366,0.1077505240354262,
2021-01-02,3,109.72727272727272,714.2727272727273,0.0970455010231429,0.1078296510025752,
2021-01-02,4,142.36363636363637,857.4090909090909,0.0969303391139578,0.1077988261755976,
2021-01-02,5,208.5,1140.1818181818182,0.0970898220038634,0.1077682666751462,
2021-01-02,6,325.54545454545456,1613.2272727272727,0.0973596820786352,0.1083762104621448,
2021-01-02,7,395.45454545454544,2023.5,0.0970763735401123,0.1079960149029108,
2021-01-02,8,517.5454545454545,2521.818181818182,0.0981005711637328,0.1102419407313528,
2021-01-02,9,660.1363636363636,3077.318181818182,0.1006438010070687,0.1141756748068224,
2021-01-02,10,822.3181818181819,3658.909090909091,0.101681249667103,0.1143514267624896,
2021-01-02,11,962.1363636363636,4101.0,0.1027657058636588,0.1154842668961374,
2021-01-02,12,1059.8181818181818,4400.590909090909,0.1020563899801435,0.1153311782019485,
2021-01-02,13,1117.6818181818182,4476.272727272727,0.1044546779153352,0.1182658341837816,
2021-01-02,14,1175.2727272727273,4567.636363636364,0.1104408860572548,0.1259877005854987,
2021-01-02,15,1086.3181818181818,4414.181818181818,0.1036385437975118,0.1169533079028931,
2021-01-02,16,1058.6363636363635,4297.409090909091,0.100854358638536,0.1131496056234398,
2021-01-02,17,1042.9545454545455,4222.181818181818,0.1005817723011711,0.1139163173165975,
2021-01-02,18,871.9090909090909,3625.318181818182,0.0989882832539177,0.1120396804677356,
2021-01-02,19,812.0909090909091,3339.681818181818,0.0989642183595117,0.1098247100842838,
2021-01-02,20,583.6818181818181,2622.409090909091,0.0978505817303301,0.1090318788551619,
2021-01-02,21,497.9090909090909,2323.818181818182,0.0967275704737478,0.1078516619567679,
2021-01-02,22,380.5,1866.6818181818185,0.0970104767201078,0.1080220191214898,
2021-01-02,23,270.72727272727275,1384.0,0.0965379127195055,0.1070795087544339,
2021-01-03,0,197.63636363636363,1071.0454545454545,0.0968805961140662,0.1076186025929431,
2021-01-03,1,130.86363636363637,793.2272727272727,0.0967167614405942,0.1073689233410174,
2021-01-03,2,103.5,676.6363636363636,0.0968064115474266,0.1075975158549946,
2021-01-03,3,100.9090909090909,659.3181818181819,0.096711219210508,0.1073911892135722,
2021-01-03,4,116.1818181818182,728.5454545454545,0.0966659164434194,0.1072373595049624,
2021-01-03,5,169.4090909090909,978.7727272727273,0.0971456422820601,0.1079484595637101,
2021-01-03,6,249.5909090909091,1327.7727272727273,0.0971631459360161,0.108062008015191,
2021-01-03,7,297.6818181818182,1600.7272727272727,0.0973476121719574,0.1088311426832586,
2021-01-03,8,390.4090909090909,2018.4545454545453,0.0969864511370984,0.107821516179123,
2021-01-03,9,522.4090909090909,2544.409090909091,0.097712283228039,0.109396595976059,
2021-01-03,10,689.3636363636364,3173.181818181818,0.0976117224235311,0.1095732396458148,
2021-01-03,11,810.0909090909091,3650.181818181818,0.0983032681643584,0.1103202638026264,
2021-01-03,12,945.681818181818,4051.863636363637,0.0985768568473218,0.1109921909862629,
2021-01-03,13,1030.3636363636365,4340.681818181818,0.0990561446123341,0.1121037172655496,
