Hour,HOV Flow,Ordinary Flow,HOV Travel Time,Ordinary Travel Time,Toll,Demand
5,620.6209735146742,2455.047244094488,5.8165940050650455,6.326587824482975,0.7511482939632546,3129.9592512892286
6,977.4413027916966,3513.3256979241232,6.3399573058089365,7.268880271383973,0.8988299620538636,4722.075408589379
7,1120.590909090909,3905.5318181818184,6.70729941594352,7.878465144893833,1.1596442379019105,5384.19019229583
8,1097.8847780126848,3869.5637773079634,6.938798372251268,8.315587911722242,1.2504922441139952,5428.269471024669
9,1007.3797202797202,3716.977272727273,6.738710524205104,8.086002567163723,0.9614210065297022,5138.149404580589
10,1027.5304195804197,3791.017132867133,6.732568768378223,8.123800946273281,1.0210631035631035,5274.699754759962
11,1073.229020979021,3848.355244755245,6.845580553451379,8.30989438298931,1.236708926521927,5438.59160717081
12,1148.3982517482518,3818.1765734265737,7.563341822194704,9.612367947380859,2.0276140516965535,5972.377157888852
13,1207.6097301136363,3743.5990767045455,8.51595537575501,11.3929962138397,3.14315194725094,6745.10183256832
14,1265.0042613636363,3705.3703835227275,9.762718720917654,13.976678978462292,4.603894448217385,8264.501405885905
15,1308.469815340909,3896.1232244318185,9.733982018728668,13.562242706584458,4.974042145730575,8198.2514017568
16,1330.5669291338584,4006.9770937723697,9.179677290673569,11.96766148527759,4.898612809446992,7218.072314325165
17,1318.405153901217,4036.9058697208307,8.947521394758484,11.468959733462926,4.713003780712277,6894.798826635916
18,1242.2229437229437,3971.255772005772,7.878042649487926,9.76880449324719,3.628238593417165,6075.211616764288
19,1030.017316017316,3637.547258297259,6.505300736762509,7.463463441005203,1.7002056820631735,4902.1396668069765
