Hour,Origin,Destination,Demand
5,3430 - Mowry NB,3430 - Mowry NB,1.3704476446875984
5,3430 - Mowry NB,3440 - Decoto/84 NB,4.97501821933012
5,3430 - Mowry NB,3450 - Whipple NB,1.0
5,3430 - Mowry NB,3460 - Hesperian/238 NB,67.62439714968104
5,3440 - Decoto/84 NB,3440 - Decoto/84 NB,5.766032267969513
5,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
5,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,78.28191293750994
5,3450 - Whipple NB,3450 - Whipple NB,1.0
5,3450 - Whipple NB,3460 - Hesperian/238 NB,160.8675799086758
5,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,146.4515474378488
6,3420 - Auto Mall NB,3420 - Auto Mall NB,201.41174168297454
6,3420 - Auto Mall NB,3430 - Mowry NB,59.83476914258501
6,3420 - Auto Mall NB,3440 - Decoto/84 NB,217.39568502276848
6,3420 - Auto Mall NB,3450 - Whipple NB,1.0
6,3420 - Auto Mall NB,3460 - Hesperian/238 NB,2709.518242507836
6,3430 - Mowry NB,3430 - Mowry NB,2.0761904761904764
6,3430 - Mowry NB,3440 - Decoto/84 NB,7.5045509147728655
6,3430 - Mowry NB,3450 - Whipple NB,1.0
6,3430 - Mowry NB,3460 - Hesperian/238 NB,93.60213603603303
6,3440 - Decoto/84 NB,3440 - Decoto/84 NB,9.360038035062118
6,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
6,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,116.88242771836254
6,3450 - Whipple NB,3450 - Whipple NB,1.0
6,3450 - Whipple NB,3460 - Hesperian/238 NB,250.58173515981733
6,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,224.96925418569256
7,3420 - Auto Mall NB,3420 - Auto Mall NB,267.7702544031311
7,3420 - Auto Mall NB,3430 - Mowry NB,76.95404061626223
7,3420 - Auto Mall NB,3440 - Decoto/84 NB,278.5352851490582
7,3420 - Auto Mall NB,3450 - Whipple NB,1.0
7,3420 - Auto Mall NB,3460 - Hesperian/238 NB,3162.4062985008245
7,3430 - Mowry NB,3430 - Mowry NB,3.059658013874752
7,3430 - Mowry NB,3440 - Decoto/84 NB,11.172111338294128
7,3430 - Mowry NB,3450 - Whipple NB,1.0
7,3430 - Mowry NB,3460 - Hesperian/238 NB,126.06617585331058
7,3440 - Decoto/84 NB,3440 - Decoto/84 NB,13.383927713560881
7,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
7,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,152.20511338232953
7,3450 - Whipple NB,3450 - Whipple NB,1.0
7,3450 - Whipple NB,3460 - Hesperian/238 NB,355.9698630136986
7,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,306.95768645357686
8,3420 - Auto Mall NB,3420 - Auto Mall NB,340.5771037181996
