Hour,Segment,FR,ML,OR,In Flow,Main Flow,Out Flow
0,3420 - Auto Mall N,44.22700587084149,1015.4527592954989,45.81347945205479,1061.2662387475536,1061.2662387475536,44.22700587084149
0,3430 - Mowry NB,19.778082191780822,1149.158904109589,41.284246575342465,41.284246575342465,1149.158904109589,19.778082191780822
0,3440 - Decoto/84 NB,149.1013698630137,1280.269406392694,26.41849315068493,26.41849315068493,1280.269406392694,149.1013698630137
0,3450 - Whipple NB,0.0,1568.5397260273974,64.57442922374429,64.57442922374429,1568.5397260273974,0.0
0,3460 - Hesperian/238 NB,52.1447219983884,1396.0578028471662,70.92531709791984,70.92531709791984,1448.2025248455545,1448.2025248455545
1,3420 - Auto Mall N,26.485518590998044,743.6274755381604,27.63868493150685,771.2661604696673,771.2661604696673,26.485518590998044
1,3430 - Mowry NB,11.135616438356164,775.9171232876712,22.45,22.45,775.9171232876712,11.135616438356164
1,3440 - Decoto/84 NB,116.80639269406393,872.0506849315068,16.754109589041096,16.754109589041096,872.0506849315068,116.80639269406393
1,3450 - Whipple NB,0.0,1130.0735812133073,40.337899543378995,40.337899543378995,1130.0735812133073,0.0
1,3460 - Hesperian/238 NB,33.33601933924255,993.159441310771,45.87305936073059,45.87305936073059,1026.4954606500135,1026.4954606500135
2,3420 - Auto Mall N,22.195839874411305,676.2382260596546,22.11065934065934,698.348885400314,698.348885400314,22.195839874411305
2,3430 - Mowry NB,8.546703296703297,665.8186813186813,18.59065934065934,18.59065934065934,665.8186813186813,8.546703296703297
2,3440 - Decoto/84 NB,106.992673992674,744.878663003663,14.993131868131869,14.993131868131869,744.878663003663,106.992673992674
2,3450 - Whipple NB,0.0,1006.7295918367347,31.426739926739927,31.426739926739927,1006.7295918367347,0.0
2,3460 - Hesperian/238 NB,28.695378151260503,904.9478560655031,38.775844525844526,38.775844525844526,933.6432342167635,933.6432342167635
3,3420 - Auto Mall N,34.178473581213304,783.0444618395303,24.820602739726027,807.8650645792563,807.8650645792563,34.178473581213304
3,3430 - Mowry NB,11.675342465753424,706.1965753424657,18.56917808219178,18.56917808219178,706.1965753424657,11.675342465753424
3,3440 - Decoto/84 NB,100.27945205479452,810.0589041095891,19.14246575342466,19.14246575342466,810.0589041095891,100.27945205479452
3,3450 - Whipple NB,0.0,1079.3620352250489,43.640182648401826,43.640182648401826,1079.3620352250489,0.0
3,3460 - Hesperian/238 NB,35.815149073327966,1024.8394842868654,45.041907661085745,45.041907661085745,1060.6546333601934,1060.6546333601934
4,3420 - Auto Mall N,75.80058708414873,1315.7381604696673,44.640547945205476,1360.3787084148728,1360.3787084148728,75.80058708414873
4,3430 - Mowry NB,20.904109589041095,1065.694520547945,33.19931506849315,33.19931506849315,1065.694520547945,20.904109589041095
4,3440 - Decoto/84 NB,117.01004566210045,1156.2255707762556,39.77328767123288,39.77328767123288,1156.2255707762556,117.01004566210045
4,3450 - Whipple NB,0.0,1488.7643835616439,81.38356164383562,81.38356164383562,1488.7643835616439,0.0
4,3460 - Hesperian/238 NB,59.998388396454466,1568.458071447757,76.53099949264333,76.53099949264333,1628.4564598442114,1628.4564598442114
5,3420 - Auto Mall N,147.8978473581213,2342.554285714286,103.04887671232876,2445.6031624266147,2445.6031624266147,147.8978473581213
5,3430 - Mowry NB,43.71917808219178,2295.7787671232877,74.96986301369863,74.96986301369863,2295.7787671232877,43.71917808219178
5,3440 - Decoto/84 NB,164.93150684931507,2387.576255707763,85.04794520547945,85.04794520547945,2387.576255707763,164.93150684931507
5,3450 - Whipple NB,0.0,2733.328767123288,161.8675799086758,161.8675799086758,2733.328767123288,0.0
5,3460 - Hesperian/238 NB,110.94585012087028,2771.809024979855,146.4515474378488,146.4515474378488,2882.7548751007253,2882.7548751007253
6,3420 - Auto Mall N,201.41174168297454,3037.9517808219175,151.20865753424658,3189.160438356164,3189.160438356164,201.41174168297454
6,3430 - Mowry NB,61.91095890410959,3265.5609589041096,104.18287671232876,104.18287671232876,3265.5609589041096,61.91095890410959
6,3440 - Decoto/84 NB,234.26027397260273,3374.782648401827,127.24246575342465,127.24246575342465,3374.782648401827,234.26027397260273
6,3450 - Whipple NB,0.0,3911.772211350293,251.58173515981733,251.58173515981733,3911.772211350293,0.0
6,3460 - Hesperian/238 NB,162.6760676873489,3974.6288477034655,224.96925418569256,224.96925418569256,4137.304915390814,4137.304915390814
7,3420 - Auto Mall N,267.7702544031311,3593.491193737769,193.17468493150685,3786.665878669276,3786.665878669276,267.7702544031311
7,3430 - Mowry NB,80.01369863013699,3732.404794520548,141.29794520547946,141.29794520547946,3732.404794520548,80.01369863013699
7,3440 - Decoto/84 NB,303.0913242009132,3858.3004566210047,166.58904109589042,166.58904109589042,3858.3004566210047,303.0913242009132
7,3450 - Whipple NB,0.0,4422.182778864971,356.9698630136986,356.9698630136986,4422.182778864971,0.0
7,3460 - Hesperian/238 NB,204.38307816277194,4606.854203599248,306.95768645357686,306.95768645357686,4811.23728176202,4811.23728176202
8,3420 - Auto Mall N,340.5771037181996,3927.1633659491195,222.61819178082192,4149.781557729942,4149.781557729942,340.5771037181996
8,3430 - Mowry NB,97.46849315068494,3906.195890410959,159.4719178082192,159.4719178082192,3906.195890410959,97.46849315068494
8,3440 - Decoto/84 NB,382.02009132420096,4061.8301369863016,180.086301369863,180.086301369863,4061.8301369863016,382.02009132420096
8,3450 - Whipple NB,0.0,4584.333463796477,396.5872146118722,396.5872146118722,4584.333463796477,0.0
