ID,Lat,Lng
425396,37.802221,-122.294876
404746,37.802829,-122.286516
400218,37.803542,-122.301498
424999,37.80551,-122.303473
400983,37.786336,-122.245364
400765,37.811809,-122.303409
400923,37.824153,-122.291162
403104,37.822794,-122.291843
400844,37.822794,-122.291843
401143,37.829005,-122.292846
402965,37.531353,-122.004885
