Hour,Rho,Min Congestion,Min Congestion Toll,Min Emission,Min Emission Toll,Max Revenue,Max Revenue Toll
8,0.25,12.598717829505874,1.9000000000000001,12.26076410630634,2.2,0.0,2.2
8,0.5,12.654759279674849,2.1,12.158154380438814,2.8000000000000003,0.0,3.4000000000000004
8,0.75,11.888937992145898,4.6000000000000005,10.469032831633086,5.4,0.0,4.800000000000001
9,0.25,10.77954989783365,0.7000000000000001,10.665422293709236,1.1,0.0,1.8
9,0.5,10.800896028892344,0.6000000000000001,10.691537302833684,1.1,0.0,3.1
9,0.75,10.74240942550829,1.4000000000000001,10.203228427905984,3.8000000000000003,0.0,4.6000000000000005
10,0.25,12.380681040745138,1.7000000000000002,12.075531354201928,2.0,0.0,2.2
10,0.5,12.43918550195815,1.9000000000000001,12.0068811209442,2.6,0.0,3.4000000000000004
10,0.75,11.796559555832072,4.4,10.447401901288929,5.4,0.0,4.800000000000001
11,0.25,12.397239717348704,1.8,12.089884691864887,2.0,0.0,2.2
11,0.5,12.45560420742157,1.9000000000000001,12.01874448703244,2.6,0.0,3.4000000000000004
11,0.75,11.803631138611912,4.4,10.449026119934476,5.4,0.0,4.800000000000001
12,0.25,13.431468272408434,2.5,12.95256020123228,2.7,0.0,2.4000000000000004
12,0.5,13.428068527838706,3.1,12.66998265992581,3.6,0.0,3.6
12,0.75,12.178138362122006,5.4,10.59180046785264,5.6000000000000005,0.0,4.9
13,0.25,13.830805562897844,2.8000000000000003,13.278071729706054,3.0,0.0,2.5
13,0.5,13.767980160959112,3.5,12.881260417564468,4.0,0.0,3.7
13,0.75,12.316763426448059,5.4,10.654830677478202,5.9,0.0,4.9
14,0.25,15.256812584386447,4.2,14.375821692695647,4.2,-11840.754233236354,2.8000000000000003
14,0.5,14.69205555851652,4.7,13.394437846926511,5.0,0.0,3.9000000000000004
14,0.75,12.841438175685365,6.300000000000001,10.812982924471221,6.9,0.0,5.0
15,0.25,15.999676563074518,4.5,14.939107097689623,4.5,0.0,3.0
15,0.5,15.294200783257242,5.4,13.707531022676546,5.5,0.0,4.1000000000000005
15,0.75,13.242504102188391,7.300000000000001,10.885918588969128,7.7,0.0,5.1000000000000005
16,0.25,16.080360806231536,4.6000000000000005,14.992505622899293,4.6000000000000005,0.0,3.0
16,0.5,15.357068647225105,5.4,13.744107615426103,5.5,0.0,4.1000000000000005
16,0.75,13.27583303338784,7.4,10.88932432438908,7.800000000000001,0.0,5.1000000000000005
17,0.25,16.38525803866456,4.800000000000001,15.202639046105581,4.9,0.0,3.1
17,0.5,15.626857821543773,5.6000000000000005,13.90882120618696,5.7,0.0,4.2
17,0.75,13.40370387190232,7.800000000000001,10.898431845924536,8.1,0.0,5.2
