Date,Equi 0,Target 0,Equi 1,Target 1,Equi 2,Target 2
2021-02-01,17843.90002285871,15454.202471608718,10449.75246944865,9182.020446158787,34541.67753716949,38199.107111709374
2021-02-02,21561.495576134468,16412.491123815682,9379.201371823821,9165.701699510264,33957.9805227544,39320.484647386766
2021-02-03,19337.634642754078,16948.630445118022,9609.108128205062,9752.32429964534,37582.63579561874,39828.42382181454
2021-02-04,20517.25969866099,16669.80627703094,9763.391825325658,9736.518621429672,36092.48957057579,39966.816196101856
2021-02-05,19176.54537114379,16891.052064619565,9334.50934360889,10295.19397256891,39139.21320196294,40464.021879527165
2021-02-08,17081.574730991815,15092.37475291183,9148.987987511413,9050.860913057879,34358.575842562735,36445.90289509628
2021-02-09,19580.09043050535,16781.98386379633,8744.431043602184,9811.808881492838,37432.72735401594,39163.4560828343
2021-02-10,18786.56917297553,17086.980606520174,9186.24442745075,10011.47529666977,39398.18890989819,40272.54660713453
2021-02-11,19511.99013982155,16927.84170665045,10200.428750268064,9800.74086494956,36589.16308994539,39572.999408435
2021-02-12,12894.2642742711,16083.124387136617,11169.393392374252,9794.005049976082,41802.79932735987,39989.32755689253
2021-02-16,16375.99273625797,12958.675582330508,6937.823814988491,7817.570025283824,30907.117107649457,33444.688051281606
2021-02-17,18940.25915393757,16563.414137537788,9728.457501653134,9596.037205172292,37049.08762769507,39558.352940575714
2021-02-18,14544.088437499553,14540.241260002158,8529.229991098775,8659.88245584619,36329.8918188696,36203.0865316196
2021-02-19,12184.602480006908,12232.10119255669,7608.351670264409,7383.229447354852,29770.35910744832,29947.982617808102
2021-02-22,18974.635094284786,16461.01505168006,10475.811726680728,10181.4591339397,39174.96242613414,41982.935061479926
2021-02-23,15557.310050887285,15200.25671049326,9209.167880940533,9007.367473305516,36474.02754765967,37032.881295688734
2021-02-24,14015.960244213244,15643.117496193321,8670.103224173912,8842.40068798909,40011.25768889095,38211.802973095706
2021-02-25,17278.287256369826,16632.233144050268,10010.45042159623,9673.603114317137,39459.12381082217,40442.02523042084
2021-02-26,12866.74709192575,16057.9272973528,9960.797041311944,9546.502354391376,41987.502629576,39210.61711106952
2021-03-01,14791.963770943716,14662.171812323839,8827.05047015534,8743.769802886833,36219.30155280673,36432.374178695136
2021-03-02,15245.64932902341,14731.511123910417,6942.6330048124,8828.462909075262,36783.018477980135,35411.32677883027
2021-03-03,16244.98131924634,16018.902856672345,9199.752786014164,9230.154664418546,39033.09200813,39228.76859229964
2021-03-04,15480.60226394435,16704.29786476664,10017.709533460857,9571.937812366636,40457.50083456242,39679.57695483438
2021-03-05,12812.422080182634,16363.604631801265,10546.093507247686,9696.22896387721,42838.767924052154,40137.449915803976
2021-03-08,18519.716405876883,15652.57040256406,9407.871632349335,9501.233906331398,37029.772576055846,39803.55630538662
2021-03-09,15705.487143767226,15475.410597276077,8927.647865919742,8977.503881940595,37630.483161113996,37810.70369158431
2021-03-10,14536.503877663783,14436.275808918363,9399.702033666304,8588.7136285738,34891.02062333296,35802.23709717091
2021-03-11,14833.399461563804,15889.137035537311,10250.207834970648,9705.573650539096,40236.937832161595,39725.83444261965
2021-03-12,13457.47278435744,17466.143537747044,11631.85867345786,10428.78734903438,45354.134324403305,42548.53489543719
2021-03-15,19049.831394023873,17569.127036266498,11837.591338063252,10364.097844669233,42755.55984729117,45709.75769844262
2021-03-16,17300.58425522456,17029.11939132302,10009.41909851896,9820.831837332551,40863.57207106793,41323.624196155884
2021-03-17,15431.920274140974,16125.055699532404,11000.136355258523,9696.206277098716,40250.41408270742,40861.2087354758
2021-03-18,18628.22436192844,16827.1168117388,10178.634250100076,9917.867071358842,38972.10791762047,41033.98264655135
2021-03-19,8306.878240725151,11006.355896176306,5495.9757401465195,6777.868867250614,31500.11857438427,27518.747791829024
2021-03-22,15155.163488156402,13966.515792572407,7997.740327385543,8551.39033605723,35226.47526941137,35861.472956323705
2021-03-23,18104.410115495022,18109.679924688546,11640.24682538585,10549.83696825503,42293.48342657334,43378.623474510656
2021-03-24,16893.863504552515,15283.981457862965,8815.287897511902,8873.646731477116,36111.39465600352,37662.917868727855
2021-03-25,13400.06576525856,16036.84927047755,9919.116751093485,9498.689095421676,41897.263455761866,39680.907606214685
2021-03-26,13753.781641811021,15120.552630841192,9706.71311933087,9198.268813628812,38766.153070432556,37907.82638710445
2021-03-29,16623.718307238938,16409.68002970071,10318.917791538148,9752.420601846434,40801.635839068025,41582.17130629798
2021-03-30,18808.035799774567,18288.05943929189,11241.701589284989,10721.97366046867,43720.513174594766,44760.217463893765
2021-04-01,15360.646797201422,18667.260323866005,13600.02459236292,11272.993295783272,47392.55368003279,46412.97144994787
2021-04-02,11018.80158722838,15909.258572913852,10725.764201192613,9582.037484448516,46129.3500704988,42382.61980155742
2021-04-05,10808.417178668838,11759.426028665268,8294.999990670502,7113.306883661252,31840.965933529336,32071.65019054216
2021-04-06,17132.4907037304,16216.94154243701,8836.811629535285,9396.3640217524,41566.24271258827,41922.23948166456
2021-04-07,14677.60722623053,16565.82252561143,10450.595734301914,9814.440587384075,45084.9039060238,43832.84375356074
2021-04-08,15113.342082778076,16953.21404840863,10917.131853892532,9845.297756504355,45903.36153323962,45135.32366499725
2021-04-09,12271.658811965543,15288.665453411133,9118.354782560953,9238.441484638155,44591.130134034334,41454.03679051155
2021-04-12,12505.551110018669,11981.275838209749,7793.911061384746,7338.2968821942495,32442.44789670628,33422.3373477057
2021-04-13,12999.311014156414,14813.211551498867,8188.0315557867425,8569.068065001054,40597.36973017164,38402.432683614876
2021-04-14,16945.297207713553,16662.151365060734,9423.242511708002,9726.711796253388,43356.27796698587,43335.954525093315
2021-04-15,13192.486190772583,15419.336019691676,9550.999642508337,8935.972288967301,41891.59717373596,40279.7746983579
2021-04-16,11524.44393709673,14024.924996409392,7440.742003976936,8547.653057369498,40528.050116727834,36920.6580040226
