Date,Equi 0,Target 0,Equi 1,Target 1,Equi 2,Target 2
2021-02-01,4.962056122234376e-09,382.9013118708143,562.6626996583727,227.4984866360987,994.177929565056,946.4408307214778
2021-02-02,3.797806621496692e-09,963.3708047428556,2808.433857709666,538.0029975752586,1000.950754899332,2308.0108102946806
2021-02-03,754.923050207382,590.525153880125,95.60870098853287,339.7910424907399,1467.4886719170354,1387.7042267420852
2021-02-04,617.0898848474446,1023.9926560958405,1117.0302612520654,598.0947467891126,2343.048353242544,2455.0810964571015
2021-02-05,1.601313150249447e-09,993.6686897381207,930.914806332302,605.6468162069309,3048.8226797662373,2380.421980155089
2021-02-08,3.914136896295421e-09,390.79913305061393,647.2818946378745,234.36130205435612,921.6019430312583,943.7234025680767
2021-02-09,601.3720296506838,757.9494777487323,745.8924686675946,443.14518938022286,1622.6270718309815,1768.7969030203044
2021-02-10,170.53833365788503,829.9100896687968,1279.6219286498174,486.2546843416963,1822.031356677624,1956.026844974833
2021-02-11,161.7514964932843,2159.8175873182713,2444.871913440028,1250.4732059581308,5852.772968474748,5049.1055851316605
2021-02-12,2.4852880897949615e-09,800.1475865816047,148.35832903197291,487.2591490975605,3128.547658373464,1989.4992517287567
2021-02-16,2.374634986135213e-09,348.6990078374349,147.04644871843587,210.35937617213628,1311.9595778407538,899.9476425519927
2021-02-17,2.1098581523177715e-09,357.18280242554016,6.480642540039038e-08,206.93435741338672,1417.1757891901755,853.0586294181649
2021-02-18,2.7661148659703914e-09,274.8055074713639,6.048685453973332e-08,163.66876933930737,1122.7000325963932,684.2257558489747
2021-02-19,2.3568899438541487e-09,691.7769423173843,1285.7721844100893,417.55278272442547,1517.2423391599777,1693.6847985306138
2021-02-22,3.13459067729623e-09,423.62033422173823,148.35832903160536,262.0174459256266,1617.700368444724,1080.420917332099
2021-02-23,590.7869954831473,529.3458085796653,125.72238118478334,313.6797166747561,1416.178610666382,1289.662462079891
2021-02-24,321.5229436978809,1062.170638285318,1981.7648907460919,600.4006800448465,1953.8721369371362,2594.588653050944
2021-02-25,2.462154946028903e-09,682.0468215468089,259.8488047473892,396.6905826705248,2477.3162156767703,1658.4276162092874
2021-02-26,308.3714990155496,745.6544263718584,285.9281451392727,443.29455508836355,2415.405507652555,1820.756170347155
2021-03-01,3.8088736621098644e-09,361.63500097412054,191.21740190910535,215.66062938416115,1284.6641842127055,898.5859557673381
2021-03-02,492.4081641689788,966.348357554351,2459.7176233495807,579.1239310179994,916.2363379288263,2322.889836875035
2021-03-03,137.83316536051842,617.3385885625005,294.36776919819135,355.71291640440194,2052.654022273683,1511.80345186549
2021-03-04,2.059724772981942e-09,807.1280650879144,577.8690486451658,462.5025073297361,2609.0226041426818,1917.2610803722569
2021-03-05,1.5665862507011908e-09,1061.0407903707971,115.389811722922,628.7181018450214,4176.941835113368,2602.572754622037
2021-03-08,249.36344135571008,673.8063427040702,476.2006335816107,409.005773809032,2070.6975269302575,1713.4494853544759
2021-03-09,2.717370278209821e-09,462.723865612413,318.69566987545534,268.43263858428327,1543.0230810336443,1130.5622467151206
2021-03-10,3.0701288040351306e-09,361.5051338232421,350.56523671152814,215.0737566089565,1122.5532241924561,896.5395704748552
2021-03-11,1.6970579012521398e-09,745.6686584332688,295.6177075683325,455.4773533097695,2769.840356345364,1864.3120521723552
2021-03-12,161.84252553632334,1421.4462333040829,1023.5934779112386,848.7254477885926,4547.460836694613,3462.7251590494993
2021-03-15,2.0820151496069497e-09,801.8988440717214,473.6477023641909,473.04331423700523,2887.601976260142,2086.307520317688
2021-03-16,53.766088276252994,1430.3391371671446,2996.679534500602,824.8882290197228,2675.7067876883493,3470.9250442783373
