Date,Equi 0,Target 0,Equi 1,Target 1,Equi 2,Target 2
2021-02-01,1226.3265829254306,3239.0906273717474,2480.9143191951193,1924.4860045108962,9462.596165835406,8006.260436073313
2021-02-02,7494.843466427483,5367.213162442088,3833.8969129307516,2997.3679457620506,9894.426373216505,12858.585644370602
2021-02-03,7375.324619396376,6853.633788914741,3744.6015679440416,3943.614179147804,15783.014340856536,16105.692560134412
2021-02-04,7826.264027057852,7301.536709590893,5047.341638040629,4264.68952047391,16198.473408823453,17505.85284385713
2021-02-05,8146.589326549971,8402.96463722562,6138.393362232857,5121.6555697013855,19369.688839565442,20130.05132142127
2021-02-08,1451.6178333779617,3482.104871231588,2907.3696832995274,2088.2099331729028,9620.10709111501,8408.779803388017
2021-02-09,9455.861671545536,8743.351871746607,5453.321256916685,5111.916341088285,19350.101866977988,20404.016582605323
2021-02-10,9558.18218800184,8627.566093544812,4710.980005763557,5054.998703688476,19747.835327985245,20334.432724517344
2021-02-11,11856.377832382928,10991.554923268124,6568.86884999707,6363.798963425403,24625.574116990352,25695.46691267699
2021-02-12,3760.081782538822,6990.294033041563,4598.81612634002,4256.820591102551,20268.99118902773,17380.774473762445
2021-02-16,4258.604494661805,4969.892508132779,3126.921266922607,2998.1831440735987,13409.208257588318,12826.658366966363
2021-02-17,2793.3603251251607,5974.510288787393,4248.915477048938,3461.3409130402283,16662.480631898445,14268.905232244932
2021-02-18,3456.683978608983,5004.791283998072,3239.0090870049835,2980.7555088298714,13751.056308886335,12461.202581672353
2021-02-19,4352.447813175177,5136.232845659984,3363.592877025566,3100.2020828297073,13095.487393702053,12575.093155413115
2021-02-22,7218.481755912044,7099.1267973883805,4610.176213066925,4390.9485014952925,17767.3590590297,18105.941729124977
2021-02-23,5030.253587528978,5395.230868532323,3440.238986556311,3197.105678001073,13266.420943918838,13144.576971470731
2021-02-24,11588.01384811746,8625.52702174413,4470.885913613456,4875.650016046917,18512.050559691404,21069.77328363132
2021-02-25,10204.194569651412,8861.18327186167,5315.75563353299,5153.822060622078,20041.422015107957,21546.36688580859
2021-02-26,11894.080245078167,9263.543704026219,4743.357896576937,5507.213984900305,20753.254146807845,22619.93459953641
