Hour,Rho,Min Congestion,Min Congestion Toll,Min Emission,Min Emission Toll,Max Revenue,Max Revenue Toll
8,0.25,9.430090683183517,3.8000000000000003,8.7341559870167,4.0,0.0,2.8000000000000003
8,0.5,9.268842927788853,4.7,8.145923583942816,5.4,0.0,3.9000000000000004
8,0.75,8.473050902812929,6.300000000000001,6.700275698738187,8.200000000000001,0.0,5.0
9,0.25,8.68324153744135,2.5,8.291438321092377,2.9000000000000004,0.0,2.4000000000000004
9,0.5,8.686630664002967,3.0,8.04577871220243,4.2,0.0,3.6
9,0.75,8.17284530505254,5.4,6.7969146380034715,6.800000000000001,0.0,4.9
10,0.25,9.351936089992776,3.6,8.692751781915874,3.9000000000000004,0.0,2.7
10,0.5,9.216125488737584,4.6000000000000005,8.14023080688041,5.4,0.0,3.9000000000000004
10,0.75,8.439791972433795,6.1000000000000005,6.714489629082163,8.0,0.0,5.0
11,0.25,9.35808857393602,3.6,8.696074654434161,3.9000000000000004,0.0,2.7
11,0.5,9.220110732037583,4.6000000000000005,8.141740358223924,5.4,0.0,3.9000000000000004
11,0.75,8.442424334774147,6.1000000000000005,6.713540597214402,8.0,0.0,5.0
12,0.25,9.705831979604234,4.3,8.847984595525823,5.0,0.0,2.9000000000000004
12,0.5,9.44452168777023,5.300000000000001,8.191981365257833,5.5,0.0,4.0
12,0.75,8.590955028710708,7.0,6.638288959190799,8.8,0.0,5.1000000000000005
13,0.25,9.8282699462452,4.5,8.884155599140472,5.1000000000000005,0.0,3.0
13,0.5,9.52433079373124,5.4,8.219776669987375,5.800000000000001,0.0,4.1000000000000005
13,0.75,8.642915785713528,7.300000000000001,6.603269261658519,9.1,0.0,5.1000000000000005
14,0.25,10.176166633601769,5.2,9.01609348174846,5.5,0.0,3.2
14,0.5,9.844014748384831,6.2,8.285834009146836,6.7,0.0,4.3
14,0.75,8.788087364819212,8.3,6.467499082401909,10.100000000000001,0.0,5.2
15,0.25,10.484158956456664,5.800000000000001,9.162589530294516,5.800000000000001,0.0,3.4000000000000004
15,0.5,10.095308758729718,7.0,8.30495577487087,7.4,0.0,4.4
15,0.75,8.881892433994011,9.3,6.320336747412679,11.0,0.0,5.800000000000001
16,0.25,10.516510251239314,5.800000000000001,9.179861629911596,5.9,0.0,3.4000000000000004
16,0.5,10.116842680182847,7.1000000000000005,8.304597687540909,7.5,0.0,4.4
16,0.75,8.889906059227258,9.4,6.306167651753519,11.200000000000001,0.0,5.800000000000001
17,0.25,10.65551506962218,6.0,9.253888313238862,6.0,0.0,3.5
17,0.5,10.199935136041638,7.4,8.300364156366335,7.800000000000001,0.0,4.5
17,0.75,8.916005402084675,9.8,6.242080472531659,11.5,0.0,5.800000000000001
