Flow Equi,Flow Target
3716.691376290929,2087.0923076923077
3712.9272688756364,2856.6153846153843
3576.2986695389113,3147.6153846153843
3298.4426010541138,3175.076923076923
3696.588343074526,2962.5846153846155
3261.07829817934,2836.953846153846
3661.245726787929,2971.538461538462
3793.225644039427,3279.0615384615385
4000.2657887147493,3615.9846153846156
3126.6212382452177,4139.323076923077
2603.1389909334334,4109.184615384615
3753.7155911297104,3931.8307692307694
3649.643323617055,3820.2769230769227
4102.753311217718,3420.5538461538463
2647.935492226006,2754.2
2076.8014543919326,2071.2615384615383
3599.9434846389004,2858.138461538461
3513.412134817731,3149.6769230769232
3385.0547684065773,3188.3230769230768
1822.5748323568548,2948.0000000000005
1423.6298293518926,2829.9692307692308
3712.6315868618276,2970.123076923077
3245.4840484201573,3265.246153846154
3759.920604508727,3597.107692307692
2117.372347375103,4102.9384615384615
1398.9776960845463,4109.476923076923
3742.6450318893117,3949.538461538462
3145.766071136046,3766.4769230769234
3717.68843021376,3458.861538461539
1768.3238825910569,2789.5230769230766
1809.822832941089,2085.830769230769
3507.2281506923828,2814.353846153846
3103.2541274203436,3115.538461538462
3792.0851943146235,3206.476923076923
2626.5549960792832,2950.9846153846156
2321.7941241485773,2803.046153846154
3695.8188614976943,2957.046153846154
3725.3385564333366,3251.2
3711.963324367517,3548.3846153846157
3174.7137670045563,3979.707692307692
2893.9665915203077,4082.646153846154
3769.4179178971413,3942.3384615384616
3663.0813734446815,3771.892307692308
3531.738757340815,3454.892307692308
2485.1208669807497,2758.7692307692305
2594.2652146779683,2040.5692307692304
3754.5598925779195,2786.892307692308
3491.199060180286,3096.276923076923
3803.226033013091,3180.4769230769234
3168.7662814099986,2925.846153846154
1475.3068877105422,2758.046153846154
3843.8561182766252,2859.892307692308
3638.8828390750937,3157.6307692307696
3567.877400247876,3521.9692307692303
3116.232211896692,3950.9230769230767
826.1965098493222,4067.353846153846
3940.9561499199035,3932.2307692307686
3790.6347487983676,3748.646153846154
3710.6442192964123,3462.0307692307697
3818.813214949403,2748.0
566.3767114932028,2017.5846153846153
3513.679603655698,2762.230769230769
3417.7051936456824,3094.9846153846156
3855.6494662588616,3183.2615384615383
3848.4420796575655,2912.723076923077
633.8668462315305,2756.276923076923
3556.9028182512116,2869.461538461538
3554.8258507403484,3168.0
3513.997557702221,3514.953846153846
3629.0575647953083,3965.8769230769235
1439.6284008900243,4068.7230769230764
3882.787129268415,3967.3076923076924
3766.4893954962135,3768.7692307692314
2870.5470919439676,3475.0153846153844
3617.770978641512,2737.046153846154
3716.691376290929,2016.230769230769
3667.444569973457,2772.0
