Date,Equi 0,Target 0,Equi 1,Target 1,Equi 2,Target 2
2021-02-01,9058.405365037466,8137.756922753871,4803.86535310945,4834.9988029384285,19225.08159785204,20114.596590306664
2021-02-02,10804.257167484311,9010.3956321299,4829.738870075136,5031.935611458391,19995.132752316018,21586.797546287176
2021-02-03,8936.914038566541,8325.659578345174,4840.99649724178,4790.624969928372,18903.252682528895,19564.87867006367
2021-02-04,9546.260492225772,8411.832117537053,5304.774740749786,4913.192072639207,18641.838692641602,20167.84973544091
2021-02-05,7139.469552453181,7426.854344200371,3807.5228955733173,4526.710697891688,18798.26464084239,17791.692046776825
2021-02-08,8663.83441578769,8261.356948109877,4967.965371129036,4954.315932026581,19533.855653416278,19949.982560196542
2021-02-09,9482.58416058116,8820.471143919878,5014.639844582137,5157.0051438058435,20064.239079262254,20583.986796699835
2021-02-10,9101.887009916034,8886.776493619765,5076.117106258314,5206.8733137644085,20861.015079053697,20945.36938784387
2021-02-11,8796.162389660649,8872.604202210345,5357.540261377564,5136.986515473076,20597.78575980504,20741.897693159834
2021-02-12,7256.598686327787,7922.320326011749,4819.837674386479,4824.388807347979,20368.45173971834,19698.17896707288
2021-02-16,8188.801438010698,7386.414843038289,4870.813128844192,4455.996672220335,17846.191094917616,19063.39414651388
2021-02-17,7823.760410479723,8001.453331972489,4759.093026282182,4635.653207212011,19164.10040294815,19109.84730052555
2021-02-18,8366.159599734128,8080.052812188152,4787.04575347939,4812.320947043794,19857.32503828744,20118.15663226901
2021-02-19,7950.041897378506,7890.060745737509,4743.972136099645,4762.397557240269,19275.763374951573,19317.319105451952
2021-02-22,9013.954200419288,8262.836392873764,5026.694627059637,5110.725602300425,20406.83373799732,21073.92057030206
2021-02-23,9677.361507244157,8613.222752048227,5003.574680676029,5104.023171107128,20020.985311781835,20984.675576546662
2021-02-24,9733.247094634136,8805.924519062388,5008.309530561417,4977.621183545124,20552.42347773196,21510.434400320002
2021-02-25,7930.561307472522,8424.286402722646,5001.859062761796,4899.715057832104,20875.613528807204,20484.03243848677
2021-02-26,7928.4262684721325,8438.614311294321,5090.795253800847,5016.790143510765,21041.785921075985,20605.60298854388
2021-03-01,8865.302049109605,8314.236275578207,4859.589074587102,4958.1855274239215,20206.637043571754,20659.106364266336
2021-03-02,8309.63059596093,8174.98951878848,5031.843740302301,4899.19812988915,19383.59792488775,19650.884612473357
2021-03-03,5138.464771202736,6119.601816413764,4611.339442179586,3526.1385723821963,14882.258627148725,14986.322451735088
2021-03-04,7856.21580200519,8568.00499126106,4774.741806108276,4909.659275495896,21199.24204519431,20352.53538655082
2021-03-05,7279.325892223696,8214.910761019737,4575.627672043809,4867.732840591008,21377.625009032505,20149.93497168927
2021-03-08,8482.003266652508,8150.126356625564,5007.4639561269905,4947.1910931492175,20333.137191928552,20725.286964933264
