Rho,Loss,Total Travel Time,Total Emission,Total Revenue,Total Utility Cost,Toll 0,Toll 1,Toll 2,Toll 3,Toll 4
0.5,0.0057407117238243615,438722.02129487484,280162.5759661384,620.8818514199481,472816.21086559625,0.0,0.0,0.0,2.0,4.0
0.75,0.0008571888307105913,345413.00604992255,221902.02490579136,4400.844432518097,357071.2489605481,0.0,0.0,0.0,2.0,4.0
0.25,0.0016010619911100616,935290.9093866741,667237.6777851378,124.17637028399001,1088325.4943899615,0.0,0.0,0.0,2.0,5.0
0.5,0.005739363452415412,438715.31703676324,280131.8012618412,620.8818514199481,472850.40996160026,0.0,0.0,0.0,2.0,5.0
0.75,0.000811479835166313,320451.5904363488,206889.28512844848,3419.086979731868,325574.6289474835,0.0,0.0,0.0,2.0,5.0
0.25,0.006925034043338475,3725264.2596237008,3725200.7878851593,5.948988615314932e-13,4437160.358607754,0.0,0.0,0.0,3.0,0.0
0.5,0.006053932068185171,3729181.129975507,3728658.652971944,372.5291108519787,4663330.006695274,0.0,0.0,0.0,3.0,0.0
0.75,0.01360084341955977,3735849.5993041773,3734452.046668064,1230.5637978207928,5005150.605756503,0.0,0.0,0.0,3.0,0.0
0.25,0.0016237713867752375,2653396.2151179593,2442744.4289572886,5.948988615314932e-13,3236983.9953090562,0.0,0.0,0.0,3.0,1.0
0.5,0.006386700863074753,1844699.2494210717,1554170.1529920616,372.5291108519787,2278024.9838535436,0.0,0.0,0.0,3.0,1.0
0.75,0.001126077964919499,1451026.3877105776,1155337.6969983184,9460.518144462301,1671057.6158733866,0.0,0.0,0.0,3.0,1.0
0.25,0.00198496769384227,1563832.7125537572,1261657.0365664451,5.948988615314932e-13,1863856.7793678164,0.0,0.0,0.0,3.0,2.0
0.5,0.003760892720939398,707908.9600327072,479885.5265940672,3557.8170196899737,803191.4122327561,0.0,0.0,0.0,3.0,2.0
0.75,0.0008405720612722087,580587.1620916509,381372.01434373204,7005.984518645205,647955.9769300424,0.0,0.0,0.0,3.0,2.0
0.25,0.004458532455838815,1254561.4082569615,957939.3831068169,4159.014371209435,1481375.1647299852,0.0,0.0,0.0,3.0,3.0
0.5,0.005544541242669881,511081.9197110016,330991.86469274154,1801.7184105700442,560756.3505480925,0.0,0.0,0.0,3.0,3.0
0.75,0.0008923733778272447,415827.86471020884,267122.5433995334,5675.109409311603,441737.1986953609,0.0,0.0,0.0,3.0,3.0
0.25,0.0040785020533349635,939908.9644727239,675121.5385931768,37.252911085197134,1086415.4829457924,0.0,0.0,0.0,3.0,4.0
0.5,0.005727210445924009,439678.8984789633,280984.6825350613,372.52911085197877,473368.1259422188,0.0,0.0,0.0,3.0,4.0
0.75,0.0008608778941201633,345989.0525229244,221975.42275525868,3884.143050320698,357157.39741012355,0.0,0.0,0.0,3.0,4.0
0.25,0.0016012684273119158,935642.274823212,667607.1603604064,37.252911085196466,1088492.7937044043,0.0,0.0,0.0,3.0,5.0
0.5,0.005725913058145063,439669.14459638874,280950.6204387377,372.52911085197877,473401.1815160942,0.0,0.0,0.0,3.0,5.0
0.75,0.0007920121231493514,318423.0551517354,204451.1334209885,2715.503782782444,323147.44564696704,0.0,0.0,0.0,3.0,5.0
0.25,0.006925034043338475,3725264.2596237008,3725200.7878851593,5.178095609074636e-13,4437160.358607754,0.0,0.0,0.0,4.0,0.0
0.5,0.006052465343999344,3729860.094899179,3729383.4409945817,496.7054811359579,4663700.3804338025,0.0,0.0,0.0,4.0,0.0
0.75,0.0012125244534967835,3727835.2659721496,3726462.918336976,1640.7517304277203,4503780.7336852355,0.0,0.0,0.0,4.0,0.0
0.25,0.0016237713867752375,2653396.2151179593,2442744.4289572886,5.178095609074636e-13,3236983.9953090562,0.0,0.0,0.0,4.0,1.0
0.5,0.006384157082276422,1845602.969230038,1555134.1820171552,496.7054811359579,2278475.978448416,0.0,0.0,0.0,4.0,1.0
0.75,0.000890500799984397,1431212.282759325,1125213.2933430758,7893.768828214425,1694689.2703355434,0.0,0.0,0.0,4.0,1.0
0.25,0.001984869616510854,1563912.8717177385,1261748.9114376437,5.178095609074636e-13,1863893.3554295676,0.0,0.0,0.0,4.0,2.0
0.5,0.003774371418147386,708901.1756284169,480943.6484916804,3745.60488405034,803676.6355160424,0.0,0.0,0.0,4.0,2.0
0.75,0.004160470051863629,581504.2577136817,382518.3263022611,7321.475693199901,648010.7890617074,0.0,0.0,0.0,4.0,2.0
0.25,0.004458518513962504,1254591.2386117512,957973.596996039,4159.014371209435,1481388.7947649874,0.0,0.0,0.0,4.0,3.0
0.5,0.005538337142462949,512077.6277942643,332053.5231986477,1925.8947808540233,561240.0391756666,0.0,0.0,0.0,4.0,3.0
0.75,0.007715390765072821,416005.75226590026,267770.1808317589,5799.766101637155,443447.2433718686,0.0,0.0,0.0,4.0,3.0
0.25,0.0040782755018702235,940070.5142096299,675306.4802746733,1.1956402007148445e-12,1086489.0487815135,0.0,0.0,0.0,4.0,4.0
0.5,0.005721040804566997,440673.8829718554,282045.5372638725,496.70548113595794,473851.5105367025,0.0,0.0,0.0,4.0,4.0
0.75,0.004395234343971602,345873.9224213184,222504.24296772754,4022.2220859285935,357285.5174790115,0.0,0.0,0.0,4.0,4.0
0.25,0.0016010369465808232,935802.6601408792,667790.7439780129,5.299392495725577e-13,1088565.9389495624,0.0,0.0,0.0,4.0,5.0
0.5,0.005719736026212847,440664.79034578253,282012.1808606852,496.70548113595794,473884.80572985345,0.0,0.0,0.0,4.0,5.0
0.75,0.0007908991036036456,316733.5768310399,203186.64486654793,3452.738539534937,319720.0509363758,0.0,0.0,0.0,4.0,5.0
0.25,0.006925034043338475,3725264.2596237008,3725200.7878851593,3.4508330239615823e-13,4437160.358607754,0.0,0.0,0.0,5.0,0.0
0.5,0.006052465343006838,3730384.750198025,3729913.8049509325,447.03493302235523,4663994.169297527,0.0,0.0,0.0,5.0,0.0
0.75,0.0011458060367106173,3728610.9449507874,3727141.089365344,1514.4893863580676,4535797.560713096,0.0,0.0,0.0,5.0,0.0
0.25,0.0016237713867752375,2653396.2151179593,2442744.4289572886,3.452063739383091e-13,3236983.9953090562,0.0,0.0,0.0,5.0,1.0
0.5,0.006384157300209114,1846130.105945261,1555666.4512237604,447.0349330223558,2278772.1892790715,0.0,0.0,0.0,5.0,1.0
0.75,0.0008778831690648914,1405758.3849973003,1101323.673242093,8895.110489860392,1659470.7558751025,0.0,0.0,0.0,5.0,1.0
0.25,0.001984869616510854,1563912.8717177385,1261748.9114376437,3.452063739383091e-13,1863893.3554295676,0.0,0.0,0.0,5.0,2.0
0.5,0.0037527089753663194,709357.7949125712,481395.7566705814,3491.1589077448007,803944.8558130515,0.0,0.0,0.0,5.0,2.0
0.75,0.004384580467829965,582267.3506947467,383578.63275026495,6067.609343414628,648662.9012346831,0.0,0.0,0.0,5.0,2.0
0.25,0.004458518513962504,1254591.2386117512,957973.596996039,4159.014371209435,1481388.7947649874,0.0,0.0,0.0,5.0,3.0
0.5,0.005538378955598258,512519.245704565,332489.30619029526,1876.2242327404208,561505.9445541451,0.0,0.0,0.0,5.0,3.0
0.75,0.007777661571549356,416133.3984432777,267962.20088776655,5673.503757567499,443344.5972221895,0.0,0.0,0.0,5.0,3.0
0.25,0.0040782755018702235,940070.5142096297,675306.4802746733,1.022864713586679e-12,1086489.0487815135,0.0,0.0,0.0,5.0,4.0
0.5,0.0057210923985898865,441112.2271909055,282477.8203642631,447.03493302235586,474116.2557621962,0.0,0.0,0.0,5.0,4.0
0.75,0.0007172353416945507,345377.3542828234,222393.49093281012,4073.3718808057424,355232.85339307354,0.0,0.0,0.0,5.0,4.0
0.25,0.0016010369465808232,935802.6601408792,667790.7439780129,3.5753297707084454e-13,1088565.9389495624,0.0,0.0,0.0,5.0,5.0
0.5,0.0057197883544062725,441104.24989640864,282445.877996059,447.0349330223558,474149.95995263796,0.0,0.0,0.0,5.0,5.0
0.75,0.0007239947137653302,314266.0915358972,201333.1694459715,3040.4646331423496,316074.60788318026,0.0,0.0,0.0,5.0,5.0
0.25,0.00399392779993378,3715882.7636028896,3713394.5990838646,275.27501300171895,4503604.840319477,0.0,0.0,1.0,0.0,0.0
0.5,0.006165340652807828,3714852.967767245,3710447.8745479914,632.7648524246806,4649608.012270709,0.0,0.0,1.0,0.0,0.0
0.75,0.003927481693289935,3711146.7410815805,3705116.309320847,1221.6652185677237,4553280.481573348,0.0,0.0,1.0,0.0,0.0
0.25,0.005561051930010397,2651422.8621817594,2418718.2396186762,7655.896116504045,3331994.306453734,0.0,0.0,1.0,0.0,1.0
0.5,0.005254207478897994,1852768.1059957477,1544578.6842009595,7449.5839530691965,2248411.2557379417,0.0,0.0,1.0,0.0,1.0
0.75,0.005802280415392399,1456069.8077131612,1158256.26849432,1125.2332034735716,1983333.325431798,0.0,0.0,1.0,0.0,1.0
0.25,0.004321671237494227,1556247.59813968,1251542.7822659037,275.27501300171895,1859526.7178411898,0.0,0.0,1.0,0.0,2.0
0.5,0.0054265576133340895,698466.0112091617,466985.0739637087,2848.5636450840966,800035.6967233976,0.0,0.0,1.0,0.0,2.0
0.75,0.0006134649510654885,564001.213854894,360269.3094783835,6805.957166245751,636831.394607643,0.0,0.0,1.0,0.0,2.0
0.25,0.004320314369667093,1247715.3714245898,947490.353071847,4434.2893842111525,1482616.4776644213,0.0,0.0,1.0,0.0,3.0
0.5,0.005443011139059433,502654.190373407,316826.3055175551,1954.8575176799598,560215.8699915824,0.0,0.0,1.0,0.0,3.0
0.75,0.0006878982541852618,401192.3605810063,245455.22823284028,5444.967599839926,436331.03252491006,0.0,0.0,1.0,0.0,3.0
0.25,0.006375515488284101,936923.9436326455,663759.4482566146,303.5662867671099,1099252.8355875362,0.0,0.0,1.0,0.0,4.0
0.5,0.005441415389679409,430951.05113454565,266215.0596735235,632.7648524246807,472463.8836770318,0.0,0.0,1.0,0.0,4.0
0.75,0.008486392871702102,332075.1810779941,202528.77186573573,3506.7035589744487,350553.9598185948,0.0,0.0,1.0,0.0,4.0
0.25,0.006549871746440935,933319.49583847,666017.2266401236,287.49428425141826,1084434.6736875437,0.0,0.0,1.0,0.0,5.0
0.5,0.005441415506087006,430951.0241412178,266215.1916969731,632.7648524246806,472463.65267348563,0.0,0.0,1.0,0.0,5.0
0.75,0.0031336548266338894,307006.93144634843,187441.81777152687,2621.378121282371,318122.3887102496,0.0,0.0,1.0,0.0,5.0
0.25,0.0015901910529230174,3720179.8164141965,3717662.318286139,573.298301683291,4407552.969244089,0.0,0.0,1.0,1.0,0.0
0.5,0.003300015463463557,3713669.642469002,3709097.5712462887,1702.0718772204805,4525260.52211828,0.0,0.0,1.0,1.0,0.0
0.75,0.000740205536447894,3715078.0812342362,3708975.422789341,3291.5273080419906,4411722.355947599,0.0,0.0,1.0,1.0,0.0
0.25,0.004720846152519099,2635298.875593231,2400600.8211336504,8020.811792803049,3303769.0736103565,0.0,0.0,1.0,1.0,1.0
0.5,0.002459041228293616,1828376.7448995118,1523620.4888019585,9034.47697317573,2191834.8325666236,0.0,0.0,1.0,1.0,1.0
0.75,0.0005652382089027149,1477035.1685490748,1172000.111883104,11187.734406855048,1730898.0198993299,0.0,0.0,1.0,1.0,1.0
0.25,0.0039923548942382495,1555439.121731164,1251925.0948002893,739.531785527915,1863417.5042779094,0.0,0.0,1.0,1.0,2.0
0.5,0.0017659899958219994,685894.4080340744,455813.2347433496,4947.503976936862,784185.9113129979,0.0,0.0,1.0,1.0,2.0
0.75,0.00031891029085994897,566133.5630877664,362303.00031357317,9020.46727836125,638440.4426564856,0.0,0.0,1.0,1.0,2.0
0.25,0.00190863844389938,1228541.552214634,930800.5983624872,4732.312672892725,1453701.085515536,0.0,0.0,1.0,1.0,3.0
0.5,0.0028826816043461406,497944.0332959486,313735.05661425355,2992.0205374443767,553130.2200173282,0.0,0.0,1.0,1.0,3.0
0.75,0.00038419637872277147,402419.75155247515,248051.33083819633,6861.868133075888,435708.00623889023,0.0,0.0,1.0,1.0,3.0
0.25,0.0017672327212728937,922577.2538612852,657149.743489497,878.3428106226729,1069067.4001330906,0.0,0.0,1.0,1.0,4.0
0.5,0.0017462273072103623,426746.77897740866,263655.3531898243,1669.9278721890964,466131.7029951338,0.0,0.0,1.0,1.0,4.0
0.75,0.0003365601801392479,332536.80099674163,203556.61785937395,5721.213671089945,349350.96776272455,0.0,0.0,1.0,1.0,4.0
0.25,0.005681321844162635,916436.406691149,646415.7132992594,739.531785527915,1072449.6338174525,0.0,0.0,1.0,1.0,5.0
0.5,0.0017462278438305733,426747.0272792705,263657.0832760054,1669.9278721890964,466130.2048595263,0.0,0.0,1.0,1.0,5.0
0.75,0.005111444603398995,307747.10918385943,188631.27845283292,4102.566664581099,319441.1381849694,0.0,0.0,1.0,1.0,5.0
0.25,0.0015902192176492297,3721306.3034755173,3718747.479871668,300.11028705851675,4408186.676525223,0.0,0.0,1.0,2.0,0.0
0.5,0.003086535031845445,3716467.358297794,3711439.7479019426,1380.8696919973913,4539785.595071045,0.0,0.0,1.0,2.0,0.0
0.75,0.0030310294407872077,3721772.886466707,3714888.435692904,3144.607280490792,4928245.92377685,0.0,0.0,1.0,2.0,0.0
0.25,0.004720479615566877,2636418.8518334823,2401679.4715292132,7846.964874405465,3304399.6988425604,0.0,0.0,1.0,2.0,1.0
0.5,0.0023342157321610143,1854100.7393502719,1550878.8608482655,8809.706803046793,2215897.9737005504,0.0,0.0,1.0,2.0,1.0
0.75,0.0025340432004261173,1403678.6858476484,1106203.0683443001,3416.478291284783,1912508.1907382999,0.0,0.0,1.0,2.0,1.0
0.25,0.003991277215046908,1556584.5234901968,1253029.1685005112,466.34377090314206,1864058.90458502,0.0,0.0,1.0,2.0,2.0
0.5,0.003024200444698191,684090.9795134711,454781.93719096837,3945.1525895011314,779648.096975541,0.0,0.0,1.0,2.0,2.0
0.75,0.004053704072268561,569098.426944394,364421.1129158138,9000.770238962814,640594.2787404994,0.0,0.0,1.0,2.0,2.0
0.25,0.0019077084491263049,1229666.726566334,931884.4453452628,4558.4657544951415,1454334.4751348777,0.0,0.0,1.0,2.0,3.0
0.5,0.0030358500922151948,496743.2405362457,313125.85228151194,2927.2837665354473,550149.9142814229,0.0,0.0,1.0,2.0,3.0
0.75,0.00029795415246774385,403995.9895036085,249811.919982271,7527.276654947143,434896.3015335104,0.0,0.0,1.0,2.0,3.0
0.25,0.0017667479870491353,923808.3309350538,658339.4951736563,605.1547959979,1069745.7384307394,0.0,0.0,1.0,2.0,4.0
0.5,0.0030038119909460673,425604.40347372903,263392.4663306272,1380.8696919973913,463166.8237503661,0.0,0.0,1.0,2.0,4.0
0.75,0.00028415760492918714,334251.13893670175,204828.12034415884,5878.928770638308,350048.7968249908,0.0,0.0,1.0,2.0,4.0
0.25,0.005680834144954517,917663.8087513453,647601.7893703793,466.34377090314206,1073125.6652876316,0.0,0.0,1.0,2.0,5.0
0.5,0.0030136784176088105,425576.66852676147,263475.4151222419,1380.8696919973916,462834.3375503082,0.0,0.0,1.0,2.0,5.0
0.75,0.00022519388889921506,309427.35120221344,189764.21653926378,4671.543171358202,319126.17878859193,0.0,0.0,1.0,2.0,5.0
0.25,0.0015898405940577534,3721654.214912667,3719119.739333981,275.27501300171957,4408352.210492578,0.0,0.0,1.0,3.0,0.0
0.5,0.003097217341739793,3717419.6692657564,3712257.3719794997,1196.1284455058037,4540337.738428019,0.0,0.0,1.0,3.0,0.0
0.75,0.003990969614459403,3718850.099115581,3711354.310508861,2498.7097668936713,4418508.846296972,0.0,0.0,1.0,3.0,0.0
0.25,0.004720525895780739,2636770.131793616,2402056.475551559,7722.788504121477,3304566.567680332,0.0,0.0,1.0,3.0,1.0
0.5,0.0023434365002139254,1855058.0697578024,1551701.9284316613,8624.965556555202,2216451.86878535,0.0,0.0,1.0,3.0,1.0
0.75,0.005125459758271459,1376776.171954587,1067986.8103515923,9736.418104796689,1628737.7162410847,0.0,0.0,1.0,3.0,1.0
0.25,0.003991336509653122,1556916.3445578127,1253370.17775495,379.4203117043486,1864217.8369438702,0.0,0.0,1.0,3.0,2.0
0.5,0.003034426295371615,685067.3865248221,455625.11979097244,3569.5768607803984,780209.3121299472,0.0,0.0,1.0,3.0,2.0
0.75,0.0002667588616223201,569686.1692569455,364621.1205038489,7003.613716403159,641086.2908719586,0.0,0.0,1.0,3.0,2.0
0.25,0.001907873683679107,1230017.5000609108,932250.9602182405,4471.542295296348,1454501.4978577953,0.0,0.0,1.0,3.0,3.0
0.5,0.0030460813737021135,497721.64235396154,313971.2253206514,2551.708037814715,550711.5391320176,0.0,0.0,1.0,3.0,3.0
0.75,0.0050592110577296475,404730.277009879,250002.32467811342,6800.342612785177,436451.76578278426,0.0,0.0,1.0,3.0,3.0
0.25,0.0017667479882337788,924083.896209373,658615.1230407079,518.2313367991064,1069881.5000583027,0.0,0.0,1.0,3.0,4.0
0.5,0.0030140533368971096,426580.79707939154,264235.6731698122,1005.2939632766592,463727.81347625033,0.0,0.0,1.0,3.0,4.0
0.75,0.00027110741300113544,334906.2594669124,204901.78556039569,4831.964114847473,350753.4910298229,0.0,0.0,1.0,3.0,4.0
0.25,0.0056808341461417194,917938.7258013648,647876.7694190631,379.4203117043486,1073260.9708638291,0.0,0.0,1.0,3.0,5.0
0.5,0.0030239486145311493,426555.34713941516,264321.06016994594,1005.2939632766593,463396.2035998847,0.0,0.0,1.0,3.0,5.0
0.75,0.005074490143977486,310497.28016041755,190308.21133959317,4041.041144290384,320863.9500884073,0.0,0.0,1.0,3.0,5.0
0.25,0.001589635481769436,3721770.8177918633,3719253.308790665,275.27501300171946,4408405.35583708,0.0,0.0,1.0,4.0,0.0
0.5,0.0030829771050696576,3718440.8321325993,3713346.4277165798,1129.4703335606387,4540829.150491927,0.0,0.0,1.0,4.0,0.0
0.75,0.004124167301988625,3717557.780948944,3710082.864166161,2814.2009414483687,4526988.520784205,0.0,0.0,1.0,4.0,0.0
0.25,0.004720352599581334,2636877.0502659557,2402178.985024974,7722.788504121477,3304615.325552808,0.0,0.0,1.0,4.0,1.0
0.5,0.0023322111270923365,1856093.558656866,1552806.2143722053,8558.307444610035,2216948.3229124546,0.0,0.0,1.0,4.0,1.0
0.75,0.0003441607880123554,1393447.4164837801,1084080.23828934,10146.606037403617,1647927.287110237,0.0,0.0,1.0,4.0,1.0
0.25,0.003991277217676078,1557139.4486297425,1253625.4100689134,342.16740061915266,1864319.2557249088,0.0,0.0,1.0,4.0,2.0
0.5,0.003042895778729956,686631.317119746,456890.01566893986,4297.575307841219,781723.3648833592,0.0,0.0,1.0,4.0,2.0
0.75,0.000265826105999548,571000.1062130593,365887.6679893494,8861.874898135922,641095.0608529446,0.0,0.0,1.0,4.0,2.0
0.25,0.0019076990517091987,1230194.5256697438,932453.5605098876,4434.2893842111525,1454582.152249826,0.0,0.0,1.0,4.0,3.0
0.5,0.0030529314403836814,498725.32092799497,315041.33208779024,2930.3303844042252,551198.8948288269,0.0,0.0,1.0,4.0,3.0
0.75,0.00022142499559712326,404702.3559365754,250213.73561478237,6924.999305110728,434908.3176723695,0.0,0.0,1.0,4.0,3.0
0.25,0.0017667479898105477,924374.1677197993,658946.6450447472,480.9784257139106,1070013.7966144816,0.0,0.0,1.0,4.0,4.0
0.5,0.0030057198100108635,427594.07823234895,265315.985878406,1129.4703335606387,464217.78394551895,0.0,0.0,1.0,4.0,4.0
0.75,0.00023120019318946565,334742.0471947924,205208.77588788042,5324.867428348969,349616.7218854261,0.0,0.0,1.0,4.0,4.0
0.25,0.005680834147717864,918228.3241639942,648207.6184970794,342.1674006191527,1073392.7873749721,0.0,0.0,1.0,4.0,5.0
0.5,0.0030306869562039137,427556.88560590055,265388.872234761,1383.91630986617,463882.7306403531,0.0,0.0,1.0,4.0,5.0
0.75,0.0002189838225661353,311396.45713352854,191480.4681124495,4371.741774250065,319938.2751096457,0.0,0.0,1.0,4.0,5.0
0.25,0.001589635481769436,3721770.8177918633,3719253.308790665,275.2750130017193,4408405.35583708,0.0,0.0,1.0,5.0,0.0
0.5,0.003083358140022689,3718859.553290114,3713763.459172031,1129.470333560631,4541086.826866821,0.0,0.0,1.0,5.0,0.0
0.75,0.006692795191836601,3728328.28844314,3720637.282848346,2639.7225898316397,5036333.206287832,0.0,0.0,1.0,5.0,0.0
0.25,0.004720352599581334,2636877.0502659557,2402178.985024974,7722.788504121477,3304615.325552808,0.0,0.0,1.0,5.0,1.0
0.5,0.0023335255041928835,1856508.306467963,1553217.412549591,8558.30744461003,2217204.9660379225,0.0,0.0,1.0,5.0,1.0
0.75,0.005243990373975181,1344653.8402260721,1040667.5270950646,10584.145696191774,1571989.9188510084,0.0,0.0,1.0,5.0,1.0
0.25,0.003991277217676078,1557139.4486297425,1253625.4100689134,342.16740061915243,1864319.2557249088,0.0,0.0,1.0,5.0,2.0
0.5,0.003025818076071894,687080.789468353,457330.1529401637,4043.1293315356784,781990.7185397104,0.0,0.0,1.0,5.0,2.0
0.75,0.0001966665644230095,572141.3637818303,367025.69572465675,7301.493833232051,641746.6109785073,0.0,0.0,1.0,5.0,2.0
