rho,tau,x1,x2,x3,loss,regime,congestion,revenue
0.25,0.5,0.22855203593853365,0.038868401197951125,0.7325795628635152,2.6217898470953782e-11,B,309.0553874601089,0.11427601796926683
0.25,1.0,0.20733005334473767,0.07730928952462413,0.7153606571306382,9.475306256523265e-11,B,282.8621799745421,0.20733005334473767
0.25,1.5,0.18637065789845977,0.1152543066805915,0.6983750354209488,1.090271135922296e-09,B,258.7892015239052,0.2795559868476897
0.25,2.0,0.16571923272806183,0.15261987212134365,0.6816608951505945,4.023678428614248e-10,B,236.73235723307266,0.33143846545612365
0.25,2.5,0.14543152953925476,0.1893026203498306,0.6652658501109147,7.681094437990208e-10,B,216.593770738148,0.3635788238481369
0.25,3.0,0.1255778145064519,0.2251733443519356,0.6492488411416125,6.343448748372107e-09,B,198.2829422696087,0.37673344351935567
0.25,3.5,0.10624837585680943,0.26006881283320366,0.6336828113099868,2.2024739832916045e-09,B,181.71854953142184,0.371869315498833
0.25,4.0,0.0875581643805423,0.29377908219027116,0.6186627534291865,2.3809751166813087e-09,B,166.82990453232676,0.3502326575221692
0.25,4.5,0.06965875044422551,0.3260306252855735,0.604310624270201,5.631890661023318e-09,B,153.5610686338553,0.3134643769990148
0.25,5.0,0.05275269116710183,0.35646057597258485,0.5907867328603134,2.6651008212361066e-09,B,141.87618106993142,0.26376345583550914
0.25,5.5,0.03711497088081775,0.3845764679688995,0.5783085611502827,3.8369661564953106e-10,B,131.76792370050558,0.20413233984449763
0.25,6.0,0.02312912624924241,0.40969368937386363,0.5671771843768939,2.426665147464775e-10,B,123.27307790516879,0.13877475749545448
0.25,6.5,0.011345917732927226,0.4308328217546757,0.5578212605123971,1.961232357004732e-09,B,116.50045298354576,0.07374846526402697
0.25,7.0,0.0025827315410810827,0.44653956039378373,0.5508777080651351,5.7514863777083036e-08,B,111.68406761553453,0.018079120787567578
0.25,7.5,0.0,0.451163485358156,0.548836514641844,5.515291753330432e-10,A1,110.29969249145388,0.0
0.25,8.0,0.0,0.4511688481948958,0.5488311518051042,3.1531335056628616e-09,A1,110.29956370038242,0.0
0.25,8.5,0.0,0.4511475517241244,0.5488524482758756,5.4133085653664955e-09,A1,110.30007634885848,0.0
0.25,9.0,0.0,0.45115395689891946,0.5488460431010805,1.1942697949757517e-09,A1,110.29992182522163,0.0
0.25,9.5,0.0,0.4511521895999354,0.5488478104000646,2.0542374957754147e-09,A1,110.29996443190406,0.0
0.5,0.5,0.46708519297726747,0.04681950643257558,0.48609530059015693,5.403519412634798e-08,B,303.48630396179317,0.23354259648863374
0.5,1.0,0.4342292664838607,0.09351637617741862,0.4722543573387207,5.9549404206719935e-08,B,272.37659498589323,0.4342292664838607
0.5,1.5,0.4014387809517596,0.14006985934058766,0.45849135970765265,6.028438508704074e-08,B,243.98019573368873,0.6021581714276394
0.5,2.0,0.36874068201928073,0.18645678033654678,0.44480253764417255,3.2034596380310076e-08,B,218.13533740789842,0.7374813640385615
0.5,2.5,0.3361366064454358,0.2326446832830536,0.43121871027151054,2.5782962453556614e-08,B,194.68317579406977,0.8403415161135895
0.5,3.0,0.30364879032332864,0.2785946370969986,0.4177565725796727,4.589455755099151e-09,B,173.47214046999306,0.9109463709699859
0.5,3.5,0.27130922886473235,0.324259144558507,0.4044316265767607,8.443915955227784e-10,B,154.357288875851,0.9495823010265633
0.5,4.0,0.2391487529861361,0.36957437649306807,0.3912768705207958,3.0309966603896418e-09,B,137.19852181006522,0.9565950119445444
0.5,4.5,0.20721593375409517,0.4144602431276326,0.37832382311827223,2.5725097328392946e-10,B,121.8629288209892,0.9324717018934282
0.5,5.0,0.1755714945866809,0.45880957882223405,0.3656189265910851,1.9389770578697765e-10,B,108.2237159960197,0.8778574729334044
0.5,5.5,0.1443024443374178,0.5024826887711595,0.3532148668914227,7.089403632760015e-11,B,96.16162139725574,0.7936634438557979
0.5,6.0,0.11352990947977248,0.5452948642196587,0.34117522630056885,3.4247340489533507e-09,B,85.5650836152952,0.6811794568786349
0.5,6.5,0.08342080382568393,0.5869950749556485,0.32958412121866754,2.614675931253123e-08,B,76.33070418598224,0.5422352248669455
0.5,7.0,0.05421150464318123,0.6272402662511343,0.3185482291056845,4.5786738353289985e-08,B,68.36469819808751,0.3794805325022686
0.5,7.5,0.026240753633294825,0.6655556522497111,0.30820359411699405,6.3262586670990165e-09,B,61.58484487696901,0.1968056522497112
0.5,8.0,0.0,0.7013195673016954,0.2986804326983046,5.388020943767703e-08,A2,55.921899983211304,0.0
0.5,8.5,0.0,0.7013167525365519,0.2986832474634481,4.1456358412769074e-08,A2,55.922025410139454,0.0
0.5,9.0,0.0,0.7013173928629833,0.29868260713701666,4.41398073279398e-08,A2,55.921996874474374,0.0
0.5,9.5,0.0,0.7013202395190654,0.2986797604809346,5.708770185754406e-08,A2,55.921870033165504,0.0
0.75,0.5,0.7032919933108429,0.05469306644369476,0.24201494024546233,3.3751393737999065e-12,B,298.05179687877234,0.35164599665542146
0.75,1.0,0.656529047791366,0.10939493198509756,0.23407602022353644,2.4030758529219378e-11,B,262.4138559897828,0.656529047791366
0.75,1.5,0.609700603949747,0.16410006968650925,0.22619932636374374,7.459150377751864e-08,B,230.31534277698512,0.9145509059246205
0.75,2.0,0.56281497467066,0.21880249577844332,0.21838252955089668,3.4806318998041757e-09,B,201.51670827921623,1.12562994934132
0.75,2.5,0.5158514308769782,0.2734889615629496,0.21065960756007224,4.922057639397005e-09,B,175.78614453150945,1.2896285771924454
0.75,3.0,0.46881080950439474,0.3281432428513184,0.2030459476442868,8.638713031114614e-09,B,152.90206056240322,1.4064324285131842
0.75,3.5,0.42169083152364256,0.38274087892586095,0.19556828955049654,1.4136700725308097e-08,B,132.65201163177832,1.4759179103327489
0.75,4.0,0.37448714885197115,0.4372435744259856,0.1882692767220432,2.6609601535548853e-08,B,114.83298738847793,1.4979485954078846
0.75,4.5,0.32722215092366,0.49160709702235283,0.18117075205398714,2.340156123713178e-08,B,99.25217323940133,1.4724996791564702
0.75,5.0,0.27991193981981377,0.5457599498498448,0.17432811033034146,1.9214818393371152e-08,B,85.72585078971764,1.3995596990990689
0.75,5.5,0.2325971783041094,0.5996068961345203,0.16779592556137024,1.5273920019986933e-08,B,74.07999251688165,1.2792844806726016
0.75,6.0,0.185346505211352,0.653019757817028,0.16163373697161998,9.932111376912004e-09,B,64.14947167529564,1.112079031268112
0.75,6.5,0.13826966504547933,0.7058342742652052,0.1558960606893155,3.464795148772163e-09,B,55.77655109786937,0.8987528227956156
0.75,7.0,0.09151668474629375,0.7578083966120281,0.15067491864167815,6.652151969043644e-08,B,48.81226620430678,0.6406167932240563
0.75,7.5,0.04532672951698691,0.8087004713774018,0.14597279910561134,9.900392344369373e-08,B,43.10673031816303,0.3399504713774018
0.75,8.0,0.0,0.8582000730268026,0.14179992697319743,1.702241361852104e-11,A2,38.51258837971942,0.0
0.75,8.5,0.0,0.8582009185833654,0.14179908141663455,3.875048263959906e-12,A2,38.512508871769825,0.0
0.75,9.0,0.0,0.8582005011672891,0.14179949883271092,1.0815732914236776e-12,A2,38.51254812109446,0.0
0.75,9.5,0.0,0.858200849458382,0.14179915054161796,2.1617897949076016e-12,A2,38.51251537148152,0.0
