Hour,Current Congestion,Current Emission,Current Revenue,Toll,Demand,Loss
5,15.06441586748678,14.87958521234584,550.3585826160888,0.7515857142857143,3061.7771334962117,0.0001683267406342963
6,12.469911073296258,12.112146251005795,1015.4377685968229,0.9076506365183784,4515.030635401444,1.9878683353582574e-05
7,11.97090642909415,11.454125753323133,1430.679567784155,1.3836184565507197,5132.738665832234,2.876876334769269e-05
8,11.869273037363238,11.32549353324435,1538.0476262646694,1.550133490469625,5090.516677668227,0.0001487256611613383
9,12.391554439557433,12.008975295570202,1095.5297653680723,0.9685916817643253,4801.04527255212,1.9290870824490874e-06
10,12.335841955230695,11.934451092656008,1163.6490193111326,1.0301116954986274,4922.8129410753545,9.660264912412902e-08
11,12.066603366436771,11.57904911983335,1299.9723147911757,1.226114652952125,5044.651261880775,9.65828785779028e-08
12,11.412814685927554,10.741286646841461,1674.3429699926037,1.922454068019256,5222.272797975292,0.0003329025365151307
13,10.457669198631207,9.554983653451025,1684.0999750122976,3.0437052495039336,5402.1781576973135,9.46164853099413e-05
14,9.054554405704419,7.780443059970128,635.9374060488367,4.834655360593998,5922.103226912134,9.661888411362701e-08
15,8.725946490516925,7.3607074063983,472.8627142610813,5.364847734533843,6119.710191956912,9.904562202828376e-08
16,9.04375339062442,7.757320018425116,480.2122721594561,5.254934986735905,5892.6076800987,3.0579747463184766e-07
17,9.168152519077658,7.913870205893932,553.9769601275992,5.035254638550555,5821.427902030772,1.0979547690758428e-07
18,9.914973356799592,8.851160813818472,914.0163140081328,4.113956336129865,5472.944750658823,2.8827205740056556e-05
19,11.740405012855096,11.149511125858465,1590.890394949071,2.069048891032567,4721.624454039694,5.275930217537133e-05
