% Ordinary,% Toll,% Pool 2,% Pool 3,Total Travel Time,Total Emission,Total Revenue,Total Utility Cost,Loss,Toll Price,HOT Capacity
0.75,0.25,0.0,0.0,6.28721228121809,6.28721228121809,0.0,2.932188942182968,0.0,0.0,0.25
0.749332845211029,0.22009997069835663,0.028275946155190468,0.0022912686690688133,6.251115064155963,6.154774494350949,70.5248212471025,2.923431117739246,5.698617580052552e-05,0.1,0.25
0.7593478560447693,0.20627768337726593,0.030352700501680374,0.004021652042865753,6.255704531305089,6.147562153140783,132.78972290227335,2.943753491635853,0.00012370354349795459,0.2,0.25
0.7683780193328857,0.1880423128604889,0.03815198317170143,0.005428444594144821,6.261834093350781,6.126429215764535,184.01699051489564,2.9529061478123997,0.00010457846382925577,0.30000000000000004,0.25
0.7788517475128174,0.17047537863254547,0.041647642850875854,0.00902534183114767,6.278751621389801,6.120677951902165,224.62653176032143,2.9688815750123605,1.8808401991066763e-05,0.4,0.25
0.7903133630752563,0.15159478783607483,0.045069124549627304,0.013022705912590027,6.305313272128098,6.123527425474178,252.8034297022676,2.9833784152404688,8.434504678090465e-05,0.5,0.25
0.8032596111297607,0.1320936381816864,0.04923699423670769,0.01540951244533062,6.344512953519379,6.143162742466961,268.9800903826841,3.0036422200840325,0.00011842555798319027,0.6000000000000001,0.25
0.8164166808128357,0.10864540189504623,0.05200301110744476,0.0229349248111248,6.390968682043979,6.154515431933969,264.3561599516539,3.045223152012716,8.924561565834485e-05,0.7000000000000001,0.25
0.8316993117332458,0.08911111950874329,0.053130559623241425,0.026058955118060112,6.455139508169817,6.204734596415355,254.30592867462954,3.0740270734329345,4.154234971024073e-05,0.8,0.25
0.8474189639091492,0.07110490649938583,0.053209397941827774,0.02826698124408722,6.529244002560749,6.271008778758958,235.8388241694263,3.102357615869179,9.235393458105432e-06,0.9,0.25
0.8611912727355957,0.05126490443944931,0.053105879575014114,0.03443460166454315,6.600054952357662,6.319292723024404,200.3693173244448,3.131656196631938,3.5018742904712815e-07,1.0,0.25
0.8738715648651123,0.033726174384355545,0.054501235485076904,0.037901028990745544,6.67036935859084,6.372833806467267,161.70344867111612,3.1610527525588825,8.255678226950534e-08,1.1,0.25
0.887585461139679,0.016718128696084023,0.05125746876001358,0.04443894699215889,6.751671081294824,6.438796455912707,110.02070099777491,3.1946866611756084,9.768465644657913e-08,1.2000000000000002,0.25
0.8985015153884888,2.3394660774583853e-12,0.050790224224328995,0.05070810765028,6.820275630404945,6.485129085628161,51.24559036772442,3.2206759917605763,1.3567622774780926e-07,1.3,0.25
0.9023973941802979,0.00024758800282143056,0.04545951634645462,0.05189553275704384,6.845623094695666,6.521089434719851,50.471422061924905,3.232026009742717,8.441278552384164e-08,1.4000000000000001,0.25
0.9059208035469055,0.0004561897076200694,0.03833789750933647,0.05528585612773895,6.868930860483541,6.551764819745369,46.75700732215501,3.2438846688813725,1.2427556125200879e-06,1.5,0.25
0.9059175848960876,1.3028679697602019e-11,0.03623094782233238,0.05785141512751579,6.868902764260193,6.548019271471622,44.99173044653236,3.238444063391585,4.353762568727095e-06,1.6,0.25
0.9083536267280579,0.00024758800282143056,0.03172833472490311,0.05967042222619057,6.885229804134677,6.570228510283107,43.16957799466505,3.2496557519424716,8.611708163126371e-08,1.7000000000000002,0.25
0.9112070798873901,0.00019807039643637836,0.025958867743611336,0.06263602524995804,6.904578942267046,6.594718830131712,37.37214016380992,3.2574537947634257,7.948943954734612e-08,1.8,0.25
0.9130769968032837,0.00019807039643637836,0.023040493950247765,0.06368447095155716,6.917391475563764,6.611836385647526,35.14481340657788,3.262821900778959,8.3082012848508e-08,1.9000000000000001,0.25
0.9141325950622559,0.00019807039643637836,0.02023835852742195,0.06543099880218506,6.924670658292095,6.6204565514622145,32.64491224355322,3.266034080319786,7.422173299621061e-08,2.0,0.25
0.9154608845710754,0.00019807039643637836,0.017055174335837364,0.06728591024875641,6.933878616517203,6.6316750962215245,29.088989239289344,3.269975118602899,8.393654497393532e-08,2.1,0.25
0.9170024394989014,0.00014631634985562414,0.014517857693135738,0.06833052635192871,6.944616169317099,6.645652997669667,25.7882849897942,3.275149585665593,1.5170091771684153e-07,2.2,0.25
0.9180144667625427,0.00015845631423871964,0.011763166636228561,0.07006392627954483,6.9517317386696185,6.654024534180432,22.12978382009272,3.2772866270263328,7.531690480984088e-08,2.3000000000000003,0.25
0.9190977811813354,0.00015845631423871964,0.009599719196557999,0.07114402949810028,6.9593659784066535,6.66370662764921,19.06208230435721,3.2803854252977547,8.924976670063194e-08,2.4000000000000004,0.25
0.919710099697113,0.0001014120425679721,0.008358689956367016,0.07182972878217697,6.963696802948062,6.668962649585934,17.005607501564945,3.282832904328948,7.943534584650909e-08,2.5,0.25
0.9201446175575256,0.00015845631423871964,0.006867377553135157,0.07282953709363937,6.966777563184201,6.672491571800672,15.136911571898112,3.283551330156781,8.805911097497702e-08,2.6,0.25
0.9207932949066162,0.00015845631423871964,0.006010239943861961,0.07303804159164429,6.971387597662422,6.6787410284823725,13.922930911416763,3.2854401609115254,9.63654384036341e-08,2.7,0.25
0.921496570110321,0.00015845631423871964,0.004764821846038103,0.07358021289110184,6.976400213703504,6.685232879032354,11.732106295760541,3.2874765367374037,9.598599226337663e-08,2.8000000000000003,0.25
0.9216368198394775,0.00023492882610298693,0.003750575939193368,0.07437767088413239,6.977401194899611,6.686095196906149,10.556764348084991,3.2894911292298845,5.092849396355044e-07,2.9000000000000004,0.25
